LfdNr,Produktgruppe,Amt,Ausschuss,Empfaenger,Verwendungszweck_Zielsetzung,Zuschuss_2026_EUR,davon_Personalkosten_2026_EUR,davon_Overhead_2026_EUR,davon_sonstigeKosten_2026_EUR,Zuschuss_2027_EUR,davon_Personalkosten_2027_EUR,davon_Overhead_2027_EUR,davon_sonstigeKosten_2027_EUR,verpflichtend_freiwillig,zeitliche_Befristung
44,0301,40,ASW,Bistum Münster,Papst-Johannes-Schule - Betriebskostenzuschuss,240000.0,0.0,0.0,240000.0,240000.0,0.0,0.0,240000.0,dem Grunde nach,31.12.2028
45,0301,40,ASW,Schülervertretungen städtischer Schulen,Zuschüsse SV-Fahrten (auf Antrag),3610.0,0.0,0.0,3610.0,3610.0,0.0,0.0,3610.0,freiwillig,31.12.2028
46,0301,40,ASW,Verkehrswacht Münster e. V.,Zuschuss Jugendverkehrsschule,17700.0,13000.0,0.0,4700.0,17900.0,13200.0,0.0,4700.0,dem Grunde nach,10 Jahre
47,0301,40,ASW,Diverse Träger der freien Jugendhilfe,"Stationäre Schulsozialarbeit Freie Träger gemäß Kooperationsvereinbarung an Grundschulen, weiterführenden Schulen, Berufskollegs und Förderschulen (Indikatiorenbasierte Verteilung)",2800870.0,2665027.0,135843.0,0.0,2905800.0,2770835.0,134965.0,0.0,dem Grunde nach,Schuljahr
48,0301,40,ASW,FAGA Münster,Projekt Bunte Schule,60000.0,51000.0,0.0,9000.0,44000.0,37400.0,0.0,6600.0,freiwillig,31.12.2030
49,0301,40,ASW,Mensavereine der Gesamtschulen,Zuschuss Mittagsverpflegung (Personalkosten),375000.0,375000.0,0.0,0.0,375000.0,375000.0,0.0,0.0,dem Grunde nach,31.12.2028
50,0301,40,ASW,Schulen,Musikalische Förderung im Gz-Bereich,2000.0,0.0,0.0,2000.0,2000.0,0.0,0.0,2000.0,freiwillig,31.12.2028
51,0301,40,ASW,Diverse Träger der freien Jugendhilfe,Modellprojekt intensivpädagogische Förderung,287600.0,273220.0,14380.0,0.0,293000.0,278350.0,14650.0,0.0,dem Grunde nach,Schuljahr
52,0301,40,ASW,Schulen der Stadt Münster,"Projekt ""Demokratie macht Schule""",15000.0,5000.0,5000.0,5000.0,15000.0,5000.0,5000.0,5000.0,freiwillig,31.12.2028
53,0302,40,ASW,div. Schüler*innen bzw. Eltern / Sorgeberechtigte,Übernahme Eigenanteil Lernmittel,15000.0,0.0,0.0,15000.0,15000.0,0.0,0.0,15000.0,Höhe und Grund nach,31.12.2030
54,0302,40,ASW,Lernen fördern e. V.,"Projekt ""Vertiefte Berufsorientierung""",30880.0,25000.0,0.0,5880.0,30880.0,25000.0,0.0,5880.0,dem Grunde nach,Schuljahr
55,0302,40,ASW,Verschiedene Projektträger,"Kommunale Projektförderung ""Schule-Beruf""",339960.0,245000.0,0.0,94960.0,344060.0,249900.0,0.0,94160.0,dem Grunde nach,Schuljahr bzw. teilweise Haushaltsjahr
56,0302,40,ASW,Schulen,Sozialfonds,24000.0,0.0,0.0,24000.0,24000.0,0.0,0.0,24000.0,freiwillig,31.12.2030
