LfdNr,Produktgruppe,Amt,Ausschuss,Empfaenger,Verwendungszweck_Zielsetzung,Zuschuss_2026_EUR,davon_Personalkosten_2026_EUR,davon_Overhead_2026_EUR,davon_sonstigeKosten_2026_EUR,Zuschuss_2027_EUR,davon_Personalkosten_2027_EUR,davon_Overhead_2027_EUR,davon_sonstigeKosten_2027_EUR,verpflichtend_freiwillig,zeitliche_Befristung
134,0503,50,ASGAM,Caritasverband für die Stadt Münster,Sozialberatung Kinderhaus Brüningheide,78540.0,71630.0,0.0,6910.0,79970.0,73060.0,0.0,6910.0,dem Grunde nach,31.12.2029
135,0503,50,ASGAM,"Arbeiterwohlfahrt, Unterbezirk Münsterland-Recklinghausen",Sozialarbeit im Stadtteil inkl. Hausbesuche über 75 Jahre,128070.0,106890.0,0.0,21180.0,130210.0,109030.0,0.0,21180.0,dem Grunde nach,31.12.2033
136,0503,50,ASGAM,Caritasverband für die Stadt Münster,Sozialarbeit im Stadtteil inkl. Hausbesuche über 75 Jahre,339160.0,281760.0,0.0,57400.0,344800.0,287400.0,0.0,57400.0,dem Grunde nach,31.12.2033
137,0503,50,ASGAM,Der Paritätische Münster,Selbsthilfekontaktstelle und Verbandsarbeit,218320.0,193910.0,0.0,24410.0,222200.0,197790.0,0.0,24410.0,dem Grunde nach,31.12.2033
138,0503,50,ASGAM,Diakonie Münster Beratungs- und BildungsCentrum gGmbH,Sozialarbeit im Stadtteil inkl. Hausbesuche über 75 Jahre,141130.0,112720.0,0.0,28410.0,143620.0,114970.0,0.0,28640.0,dem Grunde nach,31.12.2033
139,0503,50,ASGAM,DRK Kreisverband Münster e.V.,Sozialarbeit im Stadtteil inkl. Hausbesuche über 75 Jahre,106020.0,85840.0,0.0,20180.0,107740.0,87560.0,0.0,20180.0,dem Grunde nach,31.12.2033
140,0503,50,ASGAM,Arbeitskreis International e.V.,Beratung und Begleitung zur Überwindung von Alltagsproblemen,49710.0,29280.0,0.0,20430.0,50300.0,29870.0,0.0,20430.0,freiwillig,31.12.2029
141,0503,50,ASGAM,Kaktus Münster e.V.,"Beratung, Begleitung und Begegnungsangebote",54260.0,31420.0,0.0,22840.0,54890.0,32050.0,0.0,22840.0,freiwillig,31.12.2029
142,0503,50,ASGAM,Begegnungsangebote für Seniorinnen und Senioren,Begegnungsstättenförderung gemäß Richtlinien,61430.0,0.0,0.0,61430.0,61430.0,0.0,0.0,61430.0,dem Grunde nach,31.12.2030
143,0503,50,ASGAM,Frauenhaus und Beratung e.V.,ad-hoc Hotelkosten in Einzelfällen für von Gewalt betroffene Frauen und deren Kinder,2000.0,0.0,0.0,2000.0,2000.0,0.0,0.0,2000.0,freiwillig,31.12.2032
144,0503,50,ASGAM,Verbraucherzentrale NRW,Schuldnerberatung,91340.0,82200.0,0.0,9130.0,95230.0,86100.0,0.0,9130.0,dem Grunde nach,31.12.2031
145,0503,50,ASGAM,Verbraucherzentrale NRW,Verbraucherberatung,223430.0,201090.0,0.0,22340.0,230270.0,207930.0,0.0,22340.0,dem Grunde nach,31.12.2031
146,0503,50,ASGAM,"Arbeiterwohlfahrt, Unterbezirk Münsterland-Recklinghausen",Schuldnerberatung,74220.0,67490.0,0.0,6730.0,75570.0,68840.0,0.0,6730.0,dem Grunde nach,31.12.2031
147,0503,50,ASGAM,Caritasverband für die Stadt Münster,Schuldnerberatung,74220.0,67490.0,0.0,6730.0,75570.0,68840.0,0.0,6730.0,dem Grunde nach,31.12.2031
148,0503,50,ASGAM,Diakonie Münster Beratungs- und BildungsCentrum gGmbH,Schuldnerberatung,74220.0,67490.0,0.0,6730.0,75570.0,68840.0,0.0,6730.0,dem Grunde nach,31.12.2031
149,0503,50,ASGAM,Treffpunkt Waldsiedlung e.V.,"Büro- und Vereinsarbeit ""Treffpunkt Waldsiedlung"" sowie Mietkosten für das Objekt Bonnenkamp 73",55000.0,17830.0,0.0,37170.0,55360.0,18190.0,0.0,37170.0,dem Grunde nach,31.12.2028
150,0503,50,ASGAM,Arbeitslose brauchen Medien e.V.,Gemeinnützige Vereinsarbeit,28980.0,19440.0,0.0,9540.0,30600.0,21020.0,0.0,9580.0,dem Grunde nach,31.12.2028
151,0503,50,ASGAM,Internationaler Kulturverein Atrium e.V.,"Stromkosten ""Atrium"", Internationales Stadtteil- und Kulturzentrum",3600.0,0.0,0.0,3600.0,3600.0,0.0,0.0,3600.0,dem Grunde nach,31.12.2029
152,0503,50,ASGAM,Caritasverband für die Stadt Münster,"Quartiersentwicklung Hiltrup-Ost: ""Emmerbach- Treff""",62780.0,40480.0,0.0,22300.0,76670.0,47890.0,0.0,28780.0,dem Grunde nach,31.12.2031
153,0503,50,ASGAM,"Arbeiterwohlfahrt, Unterbezirk Münsterland-Recklinghausen","Service- und Kooperationsstelle ""Südviertelbüro""",28330.0,14400.0,0.0,13930.0,28620.0,14690.0,0.0,13930.0,dem Grunde nach,31.12.2030
154,0503,50,ASGAM,Begegnungszentrum Kinderhaus e.V.,Integrationsarbeit vor Ort innerhalb des Maßnahmeprogramms Kinderhaus-Brüningheide,53770.0,50170.0,0.0,3600.0,54770.0,51170.0,0.0,3600.0,dem Grunde nach,31.12.2029
155,0503,50,ASGAM,Kinderhauser Arbeitsloseninitiative KAI e.V.,"""Wir verstehen uns"" - Nachhilfe und Sprachkurse innerhalb des Maßnahmeprogramms Kinderhaus- Brüningheide",33410.0,33410.0,0.0,0.0,34080.0,34080.0,0.0,0.0,dem Grunde nach,31.12.2029
156,0503,50,ASGAM,Internationaler Kulturverein ATRIUM e.V.,"""Kulturprojekte: Interkulturelle Veranstaltungsreihe ATRIUM e.V."" innerhalb des Maßnahmeprogramms Kinderhaus-Brüningheide",2000.0,0.0,0.0,2000.0,2000.0,0.0,0.0,2000.0,dem Grunde nach,31.12.2029
157,0503,50,ASGAM,Diakonie Münster Beratungs- und BildungsCentrum gGmbH,Schuldnerberatung innerhalb des Maßnahmeprogramms Kinderhaus-Brüningheide,49110.0,45510.0,0.0,3600.0,50020.0,46420.0,0.0,3600.0,dem Grunde nach,31.12.2029
158,0503,50,ASGAM,"Arbeiterwohlfahrt, Unterbezirk Münsterland-Recklinghausen",Leistungen der Betreuungsvereine für die städtische Betreuungsbehörde,55640.0,50180.0,0.0,5460.0,56640.0,51180.0,0.0,5460.0,dem Grunde nach,31.12.2032
159,0503,50,ASGAM,Betreuungsverein Lebenshilfe Münster e.V.,Leistungen der Betreuungsvereine für die städtische Betreuungsbehörde,28430.0,25220.0,0.0,3210.0,28930.0,25720.0,0.0,3210.0,dem Grunde nach,31.12.2032
160,0503,50,ASGAM,Caritasverband für die Stadt Münster,Leistungen der Betreuungsvereine für die städtische Betreuungsbehörde,55640.0,50180.0,0.0,5460.0,56640.0,51180.0,0.0,5460.0,dem Grunde nach,31.12.2032
161,0503,50,ASGAM,Diakonisches Werk Münster e.V.,Leistungen der Betreuungsvereine für die städtische Betreuungsbehörde,55640.0,50180.0,0.0,5460.0,56640.0,51180.0,0.0,5460.0,dem Grunde nach,31.12.2032
162,0503,50,ASGAM,Sozialdienst katholischer Frauen e.V.,Leistungen der Betreuungsvereine für die städtische Betreuungsbehörde,55640.0,50180.0,0.0,5460.0,56640.0,51180.0,0.0,5460.0,dem Grunde nach,31.12.2032
163,0503,50,ASGAM,Guter Hirte Münster gGmbH,"Quartiersentwicklung Mauritz-Ost: ""Alte Apotheke""",39130.0,39130.0,0.0,0.0,39910.0,39910.0,0.0,0.0,dem Grunde nach,31.12.2030
164,0503,50,ASGAM,Chance e.V.,Gewaltberatungs- und Deeskalationsprojekt,34530.0,29530.0,0.0,5000.0,35120.0,30120.0,0.0,5000.0,freiwillig,31.12.2032
165,0503,50,ASGAM,draußen! e.V.,Unterstützung für hilfsbedürftige Mitbürger*innen,17070.0,15680.0,0.0,1390.0,17380.0,15990.0,0.0,1390.0,dem Grunde nach,31.12.2028
166,0503,50,ASGAM,MuM-Mehrgenerationenhaus und Mütterzentrum e.V.,Begegnungs- und Beratungsangebot für alle Generationen und Menschen unterschiedlicher Herkunft und Mileus,110960.0,102460.0,0.0,8500.0,113010.0,104510.0,0.0,8500.0,dem Grunde nach,31.12.2030
167,0503,50,ASGAM,Kirchengemeinde St. Marien und St. Josef,"Projekt ""FreiRaum""",11000.0,0.0,0.0,11000.0,11000.0,0.0,0.0,11000.0,dem Grunde nach,31.12.2028
168,0503,50,ASGAM,Verein Bürgernetz e.V.,Seniorenportal,3300.0,0.0,0.0,3300.0,0.0,0.0,0.0,0.0,freiwillig,31.12.2026
169,0503,50,ASGAM,AFAQ e.V.,niederschwellige Integrationsangebote,72570.0,42390.0,0.0,30180.0,66160.0,40160.0,0.0,26000.0,freiwillig,31.12.2028
170,0503,50,ASGAM,Diakonie Münster Beratungs- und BildungsCentrum gGmbH,Quartiersentwicklung Rumphorst,126700.0,115700.0,0.0,11000.0,129010.0,118010.0,0.0,11000.0,dem Grunde nach,31.12.2031
171,0503,50,ASGAM,Chance e.V.,"Fachberatungsstelle ""Opferhilfe""",37220.0,34020.0,0.0,3200.0,37900.0,34700.0,0.0,3200.0,freiwillig,31.12.2032
172,0503,50,ASGAM,"Arbeiterwohlfahrt, Unterbezirk Münsterland-Recklinghausen","Begegnungszentrum ""Coerde mittendrin""",64090.0,48590.0,0.0,15500.0,65060.0,49560.0,0.0,15500.0,dem Grunde nach,31.12.2030
173,0503,50,ASGAM,Caritasverband für die Stadt Münster,Quartiersentwicklung Aaseestadt und Pluggendorf,64540.0,52340.0,0.0,12200.0,65590.0,53390.0,0.0,12200.0,dem Grunde nach,31.12.2031
174,0503,50,ASGAM,"Frauenhaus und Beratung e.V., Frauen helfen Frauen e.V., Beratung und Therapie für Frauen e.V.",Dolmetschergestützte Beratung,30000.0,0.0,0.0,30000.0,30000.0,0.0,0.0,30000.0,dem Grunde nach,31.12.2032
175,0503,50,ASGAM,Stift Tilbeck,Technische Assistenz Tilbeck (TAT),22560.0,21060.0,0.0,1500.0,0.0,0.0,0.0,0.0,dem Grunde nach,31.12.2026
176,0503,50,ASGAM,FranKo e. V.,Soziale Projekte in Coerde,15000.0,0.0,0.0,15000.0,15000.0,0.0,0.0,15000.0,dem Grunde nach,31.12.2030
177,0503,50,ASGAM,"Arbeiterwohlfahrt, Unterbezirk Münsterland-Recklinghausen",Quartierstreff Berg Fidel,70710.0,48590.0,0.0,22120.0,71680.0,49560.0,0.0,22120.0,dem Grunde nach,31.12.2030
178,0503,50,ASGAM,Ein Rucksack voll Hoffnung - für Münster e.V.,Koordination von Begegnungsangeboten und Sachspenden für Bedürftige,70030.0,25010.0,0.0,45020.0,71140.0,25510.0,0.0,45630.0,freiwillig,31.12.2028
179,0503,50,ASGAM,Begegnungszentrum Kinderhaus e.V.,Stadtteilarbeit im Begegungszentrum Kinderhaus,120020.0,90290.0,0.0,29730.0,121830.0,92100.0,0.0,29730.0,dem Grunde nach,31.12.2029
180,0503,50,ASGAM,Seniorentreff Hansahof e.V.,"Seniorenbegegnungsstätte ""Café Hansahof""",12960.0,0.0,0.0,12960.0,12960.0,0.0,0.0,12960.0,dem Grunde nach,31.12.2030
181,0503,50,ASGAM,Altes Backhaus e.V.,"Seniorenbegegnungsstätte ""Altes Backhaus""",13080.0,0.0,0.0,13080.0,13080.0,0.0,0.0,13080.0,dem Grunde nach,31.12.2030
182,0503,50,ASGAM,Arbeiterwohlfahrt Ortsverein Münster- Wolbeck,AWO-Begegnungsstätte Wolbeck,16400.0,0.0,0.0,16400.0,16400.0,0.0,0.0,16400.0,dem Grunde nach,31.12.2030
183,0503,50,ASGAM,Bewohnertreff Südviertel e.V.,Bewohnertreff im Südviertel,14310.0,0.0,0.0,14310.0,14310.0,0.0,0.0,14310.0,dem Grunde nach,31.12.2030
184,0503,50,ASGAM,Gehörlosenverein Münster 1913 e.V.,Mietkosten für das Kulturzentrum für Gehörlose,9420.0,0.0,0.0,9420.0,9420.0,0.0,0.0,9420.0,dem Grunde nach,31.12.2031
185,0503,50,ASGAM,Deutscher Schwerhörigenbund Ortsverein Münster und Münsterland e.V.,Mietkosten für das Hörbehindertenzentrum,10700.0,0.0,0.0,10700.0,10700.0,0.0,0.0,10700.0,dem Grunde nach,31.12.2031
186,0503,50,ASGAM,Arbeitsgemeinschaft Hospiz- und Palliativversorgung Münster e.V.,Netzwerkkoordination,15000.0,14200.0,0.0,800.0,15280.0,14480.0,0.0,800.0,dem Grunde nach,31.12.2028
187,0503,50,ASGAM,Stadtsportbund Münster e.V.,Inklusion im und durch Sort,45000.0,25100.0,0.0,19900.0,45500.0,25600.0,0.0,19900.0,freiwillig,31.12.2028
188,0503,50,ASGAM,Bischof-Hermann-Stiftung,Koordinierungsstelle für pflegebedürftige wohnungslose Menschen,0.0,0.0,0.0,0.0,38570.0,34070.0,0.0,4500.0,freiwillig,31.12.2029
189,0601,51,AKJF,Träger von Kindertageseinrichtungen nach KiBiz,Betrieb von Kindertageseinrichtungen,151775336.0,0.0,0.0,0.0,152910192.0,0.0,0.0,0.0,Höhe und Grund nach,31.12.2028
190,0601,51,AKJF,Träger von Kindertageseinrichtungen und Großtagespflegen nach KiBiz,Betrieb von Kindertageseinrichtungen Freiwillige Zuschüsse,9114979.0,0.0,0.0,0.0,9114979.0,0.0,0.0,0.0,Höhe und Grund nach,31.12.2028
191,0601,51,AKJF,Träger von Kindertageseinrichtungen nach dem KiBiz & weitere Gruppen,Qualifizierung und Flexibilisierung in Kindertagesbetreuung,213500.0,0.0,0.0,0.0,213500.0,0.0,0.0,0.0,der Höhe nach,31.12.2028
192,0601,51,AKJF,Jugendamtselternbeirat,Unterstützung Sachkosten Jugendamtselternbeirat,5000.0,0.0,0.0,5000.0,5000.0,0.0,0.0,5000.0,der Höhe nach,31.12.2028
193,0601,51,AKJF,DAFFKE Münster ehemals Eltern helfen Eltern e. V.,Grundförderung,97385.0,87902.0,0.0,9483.0,99143.0,89662.0,0.0,9483.0,dem Grunde nach,31.12.2028
194,0601,51,AKJF,Münsteraner Tageseltern e. V.,Grundförderung,14750.0,13314.0,0.0,1436.0,15016.0,13580.0,0.0,1436.0,dem Grunde nach,31.12.2028
195,0601,51,AKJF,Glühwürmchen e.V.,Zuschuss: Schallschutzplatten als Lärmschutzmaßnahme,5700.0,0.0,0.0,5700.0,0.0,0.0,0.0,0.0,dem Grunde nach,31.12.2026
196,0601,51,AKJF,Krullys e.V.,Zuschuss: neue Außentür der Kita,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,dem Grunde nach,31.12.2026
197,0602,51,AKJF,Anerkannte freie Träger der Kinder- und Jugendhilfe in Münster,"Förderstruktur der offenen Kinder- u. Jugendarbeit, Betrieb der Einrichtungen (incl. Beschaffung von Materialien für die Einrichtungen nach Richtlinie)",3979041.0,3535520.0,0.0,443521.0,4046398.0,3609377.0,0.0,437021.0,dem Grunde nach,31.12.2031
198,0602,51,AKJF,Träger der Kinder- und Jugendhilfe sowie angegliederte Initiativen und Gruppen,Ferienprogramme und ganztägige Ferienbetreuung,1789270.0,1615050.0,0.0,174220.0,1821571.0,1647351.0,0.0,174220.0,dem Grunde nach,31.12.2031
199,0602,51,AKJF,Träger der Kinder- und Jugendhilfe sowie angegliederte Initiativen und Gruppen,Verbesserung der Inklusion von Kindern und Jugendlichen mit Behinderungen in Freizeit- und Ferienbetreuungsangeboten,121412.0,109592.0,0.0,11820.0,123604.0,111784.0,0.0,11820.0,dem Grunde nach,31.12.2031
200,0602,51,AKJF,Träger der Kinder- und Jugendhilfe sowie angegliederte Initiativen und Gruppen,Reisen und Begegnungen,181481.0,163811.0,0.0,17670.0,184757.0,167087.0,0.0,17670.0,dem Grunde nach,31.12.2031
201,0602,51,AKJF,Träger der Kinder- und Jugendhilfe sowie angegliederte Initiativen und Gruppen,Betrieb und Verwaltung,65995.0,59565.0,0.0,6430.0,67186.0,60756.0,0.0,6430.0,dem Grunde nach,31.12.2031
202,0602,51,AKJF,Träger der Kinder- und Jugendhilfe sowie angegliederte Initiativen und Gruppen,"Weitere Positionen der ""Richtlinien zur Förderung der Kinder- und Jugendarbeit"" wie z. B. Offene Kinder- und Jugendveranstaltungen, Kurse und Workshops, Aus- und Fortbildung u. a.",162066.0,145786.0,0.0,16280.0,164982.0,148702.0,0.0,16280.0,dem Grunde nach,31.12.2031
203,0602,51,AKJF,Diverse,"Maßnahmeprogramm Kinderhaus-Brüningheide (Projekte 6.04, 07, 08)",7867.0,7097.0,0.0,770.0,8009.0,7239.0,0.0,770.0,dem Grunde nach,31.12.2031
204,0602,51,AKJF,Träger der Offenen Ganztagsschulen,Betrieb der Offenen Ganztagsschulen in Trägerschaft der freien Jugendhilfe,23132788.0,20115668.0,1969154.0,1047966.0,28226341.0,25209221.0,2008537.0,1008583.0,dem Grunde nach,31.12.2031
205,0602,51,AKJF,"BDKJ Diözese Münster e.V., Sportjugend im SSB Münster, DGBJugend Münsterland","Finanzmittel für eine Geschäftsführung (1 VZÄ, EG 10 TVöD)",72300.0,72300.0,0.0,0.0,81200.0,81200.0,0.0,0.0,dem Grunde nach,31.12.2031
206,0603,51,AKJF,Anerkannte freie Träger der Kinder- und Jugendhilfe in Münster,Förderstruktur der aufsuchenden Jugendsozialarbeit + soziale Gruppenarbeit,789279.0,697746.0,0.0,91533.0,804496.0,712963.0,0.0,91533.0,dem Grunde nach,31.12.2030
207,0603,51,AKJF,Diverse freie Träger der Kinder- und Jugendhilfe in Münster,Freizeitpädagogische Angebote in Übergangseinrichtungen,150000.0,150000.0,0.0,0.0,150000.0,150000.0,0.0,0.0,dem Grunde nach,31.12.2030
208,0603,51,AKJF,Diverse freie Träger der Kinder- und Jugendhilfe in Münster,Schulsozialarbeit gem. Kooperationsvereinbarung an Grundschulen (Indikatorenbasiert verteilt),961396.0,559596.0,300000.0,101800.0,1083896.0,682096.0,300000.0,101800.0,dem Grunde nach,31.12.2030
209,0603,51,AKJF,Diverse freie Träger der Kinder- und Jugendhilfe in Münster,Förderinseln,890000.0,801000.0,0.0,89000.0,1009000.0,908100.0,0.0,100900.0,dem Grunde nach,31.12.2030
210,0603,51,AKJF,Diverse freie Träger der Kinder- und Jugendhilfe in Münster,Schulsozialarbeit gem. Kooperationsvereinbarung an weiterführenden Schulen,167401.0,151101.0,0.0,16300.0,170423.0,154123.0,0.0,16300.0,dem Grunde nach,31.12.2028
211,0603,51,AKJF,Caritasverband für die Stadt Münster e.V. / Jugendausbildungszentrum gGmbH,"Jugendhilfe an der Kompassschule (Förderschule) mit Primarstufe, Sekundarstufe u.Villa Interim",576376.0,518738.0,0.0,57638.0,586751.0,529113.0,0.0,57638.0,dem Grunde nach,31.12.2030
212,0603,51,AKJF,Caritasverband für die Stadt Münster e.v./ Jugendausbildungszentrum gGmbH,Jugendberufshilfe für wohnungslose junge Menschen,4610.0,4149.0,0.0,461.0,4693.0,4232.0,0.0,461.0,dem Grunde nach,31.12.2030
213,0603,51,AKJF,Boxzentrum Münster e.V.,"""Farid’s QualiFighting"" Verknüpfung von Sport (Boxen) und Lernhilfen",108332.0,97499.0,0.0,10833.0,110281.0,99253.0,0.0,11028.0,dem Grunde nach,31.12.2030
214,0603,51,AKJF,Cactus Junges Theater (Jugendtheaterwerkstatt Münster e. V.),Beratung + Coaching junger Menschen hinsichtlich Ausbildung und sozialem Umfeld,56023.0,50573.0,0.0,5450.0,57034.0,51584.0,0.0,5450.0,dem Grunde nach,31.12.2028
215,0603,51,AKJF,Outlaw gGmbH,FANport Münster,56097.0,53097.0,0.0,3000.0,57158.0,54158.0,0.0,3000.0,dem Grunde nach,31.12.2028
216,0603,51,AKJF,SeHT Münster e. V.,a) Jugendsozialarbeit für junge Menschen mit / ohne Entwicklungsbesonderheiten / Behinderungen b) Kinder- und Jugendförderung mit zwei Schwerpunkten,244046.0,220286.0,0.0,23760.0,248452.0,224692.0,0.0,23760.0,dem Grunde nach,31.12.2028
217,0603,51,AKJF,Verbund sozialtherapeutischer Einrichtungen e. V.,"""Track"" - Beratungsstelle für LSBTQ",70483.0,63623.0,0.0,6860.0,71756.0,64896.0,0.0,6860.0,dem Grunde nach,31.12.2028
218,0603,51,AKJF,Verein für Mototherapie und Psychomotorische Entwicklungsförderung e.V.,Ganzheitliche psychomotorische Entwicklungsförderung an weiterführenden Schulen im Bildungsgang Hauptschule,57653.0,54363.0,0.0,3290.0,58741.0,55451.0,0.0,3290.0,dem Grunde nach,31.12.2028
219,0603,51,AKJF,INDRO e.V.,"Angebote in der Drogenhilfe (incl. ""Drogentherapeutische Ambulanz"")",869346.0,796736.0,0.0,72610.0,885281.0,812671.0,0.0,72610.0,dem Grunde nach,31.12.2028
220,0604,51,AKJF,Familienbildung Friedensstraße ehemals Anna Krückmann Haus,Familienbildung,72666.0,0.0,0.0,0.0,73991.0,0.0,0.0,0.0,dem Grunde nach,31.12.2030
221,0604,51,AKJF,Familienbildung Friedensstraße ehemals Anna Krückmann Haus,Sure Start Hiltrup-Eltern im Fokus präventiver Angebote,17605.0,0.0,0.0,0.0,17923.0,0.0,0.0,0.0,dem Grunde nach,31.12.2030
222,0604,51,AKJF,Familienbildung Friedensstraße ehemals Anna Krückmann Haus,Präventionsgruppe-Eltern im Fokus präventiver Angebote,9653.0,0.0,0.0,0.0,9828.0,0.0,0.0,0.0,dem Grunde nach,31.12.2030
223,0604,51,AKJF,Familienbildung Friedensstraße ehemals Anna Krückmann Haus,Sure Start Coerde II V/0279/2018-Eltern im Fokus präventiver Angebote,14548.0,0.0,0.0,0.0,14812.0,0.0,0.0,0.0,dem Grunde nach,31.12.2030
224,0604,51,AKJF,Familienbildung Friedensstraße ehemals Anna Krückmann Haus,Anna Krückmann Haus Sure Start Coerde Familien stärken -Eltern im Fokus präventiver Angebote,18394.0,0.0,0.0,0.0,18727.0,0.0,0.0,0.0,dem Grunde nach,31.12.2030
225,0604,51,AKJF,ASB e.V.,Familienbildung,44710.0,0.0,0.0,0.0,45525.0,0.0,0.0,0.0,dem Grunde nach,31.12.2030
226,0604,51,AKJF,Familienbildung Friedensstraße und Haus der Familie jeweils 50%,Wellcome,12295.0,0.0,0.0,0.0,12519.0,0.0,0.0,0.0,dem Grunde nach,31.12.2030
227,0604,51,AKJF,Ev. Familienbildungsstätte e.V.,Familienbildung,40953.0,0.0,0.0,0.0,41700.0,0.0,0.0,0.0,dem Grunde nach,31.12.2030
228,0604,51,AKJF,Haus der Familie,Familienbildung,116931.0,0.0,0.0,0.0,119064.0,0.0,0.0,0.0,dem Grunde nach,31.12.2030
229,0604,51,AKJF,Haus der Familie,Sure Start Gievenbeck-Eltern im Fokus präventiver Angebote,18394.0,0.0,0.0,0.0,18727.0,0.0,0.0,0.0,dem Grunde nach,31.12.2030
230,0604,51,AKJF,Haus der Familie,"Sure Start Kinderhaus,Eltern im Fokus präventiver Angebote",12367.0,0.0,0.0,0.0,12591.0,0.0,0.0,0.0,dem Grunde nach,31.12.2030
231,0604,51,AKJF,Haus der Familie,Sure Start Berg Fidel -Eltern im Fokus präventiver Angebote,17571.0,0.0,0.0,0.0,17889.0,0.0,0.0,0.0,dem Grunde nach,31.12.2030
232,0604,51,AKJF,Begegnungszentrum Kinderhaus e.V.,Mädchenarbeit im Begegnungszentrum Kinderhaus,3875.0,0.0,0.0,0.0,3875.0,0.0,0.0,0.0,dem Grunde nach,31.12.2031
233,0604,51,AKJF,Beratungstelle Südviertel e.V.,Erziehungsberatung (40%/60% in PG 0605),204848.0,0.0,0.0,0.0,208585.0,0.0,0.0,0.0,dem Grunde nach,31.12.2029
234,0604,51,AKJF,Beratungstelle Südviertel e.V.,Jump -Eltern im Fokus präventiver Angebote,89688.0,0.0,0.0,0.0,91325.0,0.0,0.0,0.0,dem Grunde nach,31.12.2029
235,0604,51,AKJF,Beratungstelle Südviertel e.V.,Spieltreff-Ankergruppen,10331.0,0.0,0.0,0.0,10519.0,0.0,0.0,0.0,dem Grunde nach,31.12.2029
236,0604,51,AKJF,Beratungstelle Südviertel e.V.,Präv.grup.mindj.Schwang.jg.Mütter+Kind -Eltern im Fokus präventiver Angebote,14754.0,0.0,0.0,0.0,15023.0,0.0,0.0,0.0,dem Grunde nach,31.12.2029
237,0604,51,AKJF,Beratungstelle Südviertel e.V.,Rückenwind-Eltern im Fokus präventiver Angebote,81889.0,0.0,0.0,0.0,83383.0,0.0,0.0,0.0,dem Grunde nach,31.12.2029
238,0604,51,AKJF,Beratungstelle Südviertel e.V.,Familientreff- Viertelchen-Eltern im Fokus präventiver Angebote,38209.0,0.0,0.0,0.0,38899.0,0.0,0.0,0.0,dem Grunde nach,31.12.2029
239,0604,51,AKJF,Beratungstelle Südviertel e.V.,Aufwind-Eltern im Fokus präventiver Angebote,23148.0,0.0,0.0,0.0,23570.0,0.0,0.0,0.0,dem Grunde nach,31.12.2029
240,0604,51,AKJF,Beratungstelle Südviertel e.V.,Auryngruppen,27256.0,0.0,0.0,0.0,27753.0,0.0,0.0,0.0,dem Grunde nach,31.12.2029
241,0604,51,AKJF,"Caritas Verband Münster, Beratungsstelle Südviertel, Diakonie Münster, VSE","Ausbau Stadtteilkoordination Mitte, West, Ost",438550.0,0.0,0.0,0.0,445674.0,0.0,0.0,0.0,dem Grunde nach,31.12.2031
242,0604,51,AKJF,Caritas,Erziehungsberatung (zu 60 % in PG 0605),333279.0,0.0,0.0,0.0,339359.0,0.0,0.0,0.0,dem Grunde nach,31.12.2029
243,0604,51,AKJF,Caritas,Präventionsangebot / alltagspräsente EB,14878.0,0.0,0.0,0.0,15149.0,0.0,0.0,0.0,dem Grunde nach,31.12.2029
244,0604,51,AKJF,Caritas,Familienpaten -Eltern im Fokus präventiver Angebote,12295.0,0.0,0.0,0.0,12519.0,0.0,0.0,0.0,dem Grunde nach,31.12.2029
245,0604,51,AKJF,Caritas,Starthilfe Etatbeschluss-Eltern im Fokus präventiver Angebote,87932.0,0.0,0.0,0.0,89536.0,0.0,0.0,0.0,dem Grunde nach,31.12.2029
246,0604,51,AKJF,Diakonie BBC,Erziehungsberatung (zu 60 % in PG 0605),244744.0,0.0,0.0,0.0,249208.0,0.0,0.0,0.0,dem Grunde nach,31.12.2029
247,0604,51,AKJF,Diakonie BBC,Mütter stärken - Kinder fördern,34246.0,0.0,0.0,0.0,34871.0,0.0,0.0,0.0,dem Grunde nach,31.12.2029
248,0604,51,AKJF,Haus der Familie,Bildungspiloten,22131.0,0.0,0.0,0.0,22534.0,0.0,0.0,0.0,dem Grunde nach,31.12.2030
249,0604,51,AKJF,Der Kinderschutzbund,"Beratung und Hilfe im Aufgabenschwerpunkt ""Gewalt in der Familie"", Öffentlichkeitsarbeit, Weiterbildung von Mitarbeitenden (zu 40 % in PG 0605)",216911.0,0.0,0.0,0.0,219086.0,0.0,0.0,0.0,dem Grunde nach,31.12.2028
250,0604,51,AKJF,Der Kinderschutzbund,"Projekt ""Spürsinn. Mein Gefühl stimmt!""",22739.0,0.0,0.0,0.0,23150.0,0.0,0.0,0.0,dem Grunde nach,31.12.2029
251,0604,51,AKJF,Kinderschutzambulanz/ DRK,Ärztliche Kinderschutzambulanz (zu 80 % in PG 0605),83601.0,0.0,0.0,0.0,85126.0,0.0,0.0,0.0,dem Grunde nach,31.12.2028
252,0604,51,AKJF,Zartbitter,Beratungsstelle gegen sexualisierte Gewalt (zu 25 % in PG 0605) mit Sperrvermerk,284502.0,0.0,0.0,0.0,289636.0,0.0,0.0,0.0,dem Grunde nach,31.12.2028
253,0604,51,AKJF,AWO,Stadtteilbezogenes Begegnungsstättenangebot,145266.0,0.0,0.0,0.0,151028.0,0.0,0.0,0.0,dem Grunde nach,31.12.2029
