Code,Bezeichnung,Ebene,Ertraege_2026_EUR,Aufwendungen_2026_EUR,OrdentlErgebnis_2026_EUR,Ertraege_2027_EUR,Aufwendungen_2027_EUR,OrdentlErgebnis_2027_EUR,Einzahlungen_lfdVerw_2026_EUR,Auszahlungen_lfdVerw_2026_EUR,SaldoLfdVerw_2026_EUR,Einzahlungen_Investitionstaetigkeit_2026_EUR,Auszahlungen_Investitionstaetigkeit_2026_EUR,SaldoInvestitionstaetigkeit_2026_EUR,Finanzmittelueberschuss_fehlbetrag_2026_EUR,Einzahlungen_lfdVerw_2027_EUR,Auszahlungen_lfdVerw_2027_EUR,SaldoLfdVerw_2027_EUR,Einzahlungen_Investitionstaetigkeit_2027_EUR,Auszahlungen_Investitionstaetigkeit_2027_EUR,SaldoInvestitionstaetigkeit_2027_EUR,Finanzmittelueberschuss_fehlbetrag_2027_EUR
0207,Statistik,PG,550.0,709450.0,-708900.0,550.0,714290.0,-713740.0,550.0,680800.0,-680250.0,,,,-680250.0,550.0,685810.0,-685260.0,,,,-685260.0
0208,Wahlen,PG,,2510.0,-2510.0,489500.0,873130.0,-383630.0,,2420.0,-2420.0,,1000.0,-1000.0,-3420.0,489500.0,873040.0,-383540.0,,5000.0,-5000.0,-388540.0
0209,Brandschutz & feuerwehrt.Hilfeleistungen,PG,2072010.0,44086450.0,-42014440.0,2072010.0,43495150.0,-41423140.0,1004050.0,33115060.0,-32111010.0,748700.0,21188000.0,-20439300.0,-52550310.0,1004050.0,32553110.0,-31549060.0,748700.0,19076000.0,-18327300.0,-49876360.0
0210,Rettungsdienst,PG,32675100.0,35389130.0,-2714030.0,33155100.0,35048940.0,-1893840.0,32633000.0,29940800.0,2692200.0,14000.0,1604000.0,-1590000.0,1102200.0,33113000.0,29738860.0,3374140.0,14000.0,421000.0,-407000.0,2967140.0
0211,Veterinärwesen & Lebensmittelüberwachung,PG,227620.0,3283980.0,-3056360.0,189020.0,3313940.0,-3124920.0,227600.0,3074340.0,-2846740.0,4000.0,25000.0,-21000.0,-2867740.0,189000.0,3106200.0,-2917200.0,4000.0,22000.0,-18000.0,-2935200.0
02,Sicherheit und Ordnung,PB,60195770.0,122252990.0,-62057220.0,61881900.0,122206670.0,-60324770.0,59082820.0,101705780.0,-42622960.0,766700.0,22839620.0,-22072920.0,-64695880.0,60742420.0,101860670.0,-41118250.0,766700.0,19590120.0,-18823420.0,-59941670.0
0301,Leistungen für Schulen,PG,3535630.0,42903040.0,-39367410.0,3608700.0,43173030.0,-39564330.0,2961210.0,36848640.0,-33887430.0,7364450.0,139437520.0,-132073070.0,-165960500.0,2952250.0,37331220.0,-34378970.0,5137570.0,128980950.0,-123843380.0,-158222350.0
0302,Zentr.Leist. f. am Schulleben Beteiligte,PG,997820.0,15697530.0,-14699710.0,747820.0,15786720.0,-15038900.0,995080.0,15236090.0,-14241010.0,,2900.0,-2900.0,-14243910.0,745080.0,15341110.0,-14596030.0,,2900.0,-2900.0,-14598930.0
03,Schulträgeraufgaben,PB,4533450.0,58600570.0,-54067120.0,4356520.0,58959750.0,-54603230.0,3956290.0,52084730.0,-48128440.0,7364450.0,139440420.0,-132075970.0,-180204410.0,3697330.0,52672330.0,-48975000.0,5137570.0,128983850.0,-123846280.0,-172821280.0
0401,Kulturmanagement / Kulturförderung,PG,526590.0,6942140.0,-6415550.0,551820.0,7279090.0,-6727270.0,507530.0,6796360.0,-6288830.0,1000000.0,7988150.0,-6988150.0,-13276980.0,535830.0,7134050.0,-6598220.0,4334000.0,3785310.0,548690.0,-6049530.0
0402,Volkshochschule,PG,2861600.0,4130480.0,-1268880.0,2861500.0,4155760.0,-1294260.0,2861500.0,3988240.0,-1126740.0,,25430.0,-25430.0,-1152170.0,2861500.0,4018900.0,-1157400.0,,25430.0,-25430.0,-1182830.0
0403,Westf. Schule für Musik,PG,2821670.0,7793490.0,-4971820.0,2774040.0,7867750.0,-5093710.0,2797810.0,7647060.0,-4849250.0,18470.0,246740.0,-228270.0,-5077520.0,2751520.0,7732570.0,-4981050.0,18840.0,239660.0,-220820.0,-5201870.0
0404,Stadtbücherei u. Förderung freier Träger,PG,764300.0,6442600.0,-5678300.0,753620.0,6587450.0,-5833830.0,721140.0,6210790.0,-5489650.0,3208000.0,4419600.0,-1211600.0,-6701250.0,720480.0,6343940.0,-5623460.0,1925600.0,2466250.0,-540650.0,-6164110.0
0405,Stadtmuseum,PG,228500.0,2045790.0,-1817290.0,228980.0,2056030.0,-1827050.0,223030.0,1895040.0,-1672010.0,,908900.0,-908900.0,-2580910.0,225830.0,1907760.0,-1681930.0,,96900.0,-96900.0,-1778830.0
0406,Stadtarchiv,PG,62410.0,1171420.0,-1109010.0,39940.0,1177770.0,-1137830.0,59880.0,1025180.0,-965300.0,,25430.0,-25430.0,-990730.0,38420.0,1032620.0,-994200.0,,5430.0,-5430.0,-999630.0
0407,Theater Münster,PG,25000.0,26168830.0,-26143830.0,25000.0,26774120.0,-26749120.0,,26017580.0,-26017580.0,,,,-26017580.0,,26622870.0,-26622870.0,,,,-26622870.0
0408,Geschichtsort Villa ten Hompel,PG,264290.0,957610.0,-693320.0,193690.0,937780.0,-744090.0,183200.0,860920.0,-677720.0,10000.0,11000.0,-1000.0,-678720.0,153300.0,841280.0,-687980.0,15000.0,16000.0,-1000.0,-688980.0
04,Kultur und Wissenschaft,PB,7554360.0,55652360.0,-48098000.0,7428590.0,56835750.0,-49407160.0,7354090.0,54441170.0,-47087080.0,4236470.0,13625250.0,-9388780.0,-56475860.0,7286880.0,55633990.0,-48347110.0,6293440.0,6634980.0,-341540.0,-48688650.0
0501,Leist. der Grundsicherung f. Arbeitsuchende,PG,197969720.0,227488530.0,-29518810.0,200555350.0,230309560.0,-29754210.0,197969420.0,224965210.0,-26995790.0,,4000.0,-4000.0,-26999790.0,200555140.0,227806570.0,-27251430.0,,4500.0,-4500.0,-27255930.0
0502,Sicherung Lebensunterhalt,PG,71682020.0,92624490.0,-20942470.0,73018700.0,92750830.0,-19732130.0,71682020.0,91638230.0,-19956210.0,,734520.0,-734520.0,-20690730.0,73018700.0,91776750.0,-18758050.0,,2593820.0,-2593820.0,-21351870.0
0503,Sicherung besonderer sozialer Bedarfe,PG,6819930.0,73322880.0,-66502950.0,6935260.0,74484820.0,-67549560.0,6815860.0,72293290.0,-65477430.0,,268290.0,-268290.0,-65745720.0,6931190.0,73464010.0,-66532820.0,,273260.0,-273260.0,-66806080.0
0504,Wohngeld,PG,3000.0,2921960.0,-2918960.0,3000.0,2721750.0,-2718750.0,3000.0,2610670.0,-2607670.0,,,,-2607670.0,3000.0,2412980.0,-2409980.0,,,,-2409980.0
05,Soziale Leistungen,PB,276474670.0,396357860.0,-119883190.0,280512310.0,400266960.0,-119754650.0,276470300.0,391507400.0,-115037100.0,,1006810.0,-1006810.0,-116043910.0,280508030.0,395460310.0,-114952280.0,,2871580.0,-2871580.0,-117823860.0
0601,Förderung von Kindern in Tagesbetreuung,PG,128870040.0,218007240.0,-89137200.0,130797990.0,218555440.0,-87757450.0,127558050.0,215105450.0,-87547400.0,,14337750.0,-14337750.0,-101885150.0,129556040.0,215903860.0,-86347820.0,,7822300.0,-7822300.0,-94170120.0
0602,Kinder- und Jugendarbeit,PG,28100440.0,46262570.0,-18162130.0,28077860.0,47688370.0,-19610510.0,28090730.0,45888130.0,-17797400.0,,100550.0,-100550.0,-17897950.0,28068760.0,47325750.0,-19256990.0,,100550.0,-100550.0,-19357540.0
0603,Förd. v. benachteiligten jungen Menschen,PG,548010.0,10676380.0,-10128370.0,548010.0,10941970.0,-10393960.0,545400.0,10610630.0,-10065230.0,,7690.0,-7690.0,-10072920.0,545400.0,10877670.0,-10332270.0,,7690.0,-7690.0,-10339960.0
0604,Familienförderung,PG,363890.0,5987210.0,-5623320.0,374390.0,6157430.0,-5783040.0,363890.0,5797880.0,-5433990.0,,1620.0,-1620.0,-5435610.0,374390.0,5969510.0,-5595120.0,,1620.0,-1620.0,-5596740.0
0605,Erzieh.u.wirtschaftl.Hilfen für Familien,PG,26491370.0,117844510.0,-91353140.0,27869240.0,117018140.0,-89148900.0,26491330.0,116730780.0,-90239450.0,,1080.0,-1080.0,-90240530.0,27869200.0,115913200.0,-88044000.0,,1080.0,-1080.0,-88045080.0
06,"Kinder-, Jugend- und Familienhilfe",PB,184373750.0,398777910.0,-214404160.0,187667490.0,400361350.0,-212693860.0,183049400.0,394132870.0,-211083470.0,,14448690.0,-14448690.0,-225532160.0,186413790.0,395989990.0,-209576200.0,,7933240.0,-7933240.0,-217509440.0
0701,Gesundheitsdienste,PG,3089970.0,17433250.0,-14343280.0,3122970.0,17768360.0,-14645390.0,3089970.0,16815500.0,-13725530.0,,10000.0,-10000.0,-13735530.0,3122970.0,17155860.0,-14032890.0,,10000.0,-10000.0,-14042890.0
07,Gesundheitsdienste,PB,3089970.0,17433250.0,-14343280.0,3122970.0,17768360.0,-14645390.0,3089970.0,16815500.0,-13725530.0,,10000.0,-10000.0,-13735530.0,3122970.0,17155860.0,-14032890.0,,10000.0,-10000.0,-14042890.0
0801,"Sportentwicklung, Sportanlagen/-stätten",PG,2764120.0,9697260.0,-6933140.0,2773360.0,9634500.0,-6861140.0,1578120.0,7444750.0,-5866630.0,1868640.0,63865910.0,-61997270.0,-67863900.0,1597610.0,7437600.0,-5839990.0,856000.0,39839000.0,-38983000.0,-44822990.0
0802,Bäder,PG,2357200.0,9138320.0,-6781120.0,2357730.0,9125540.0,-6767810.0,2293590.0,8693430.0,-6399840.0,,1333950.0,-1333950.0,-7733790.0,2295240.0,8698830.0,-6403590.0,,2043300.0,-2043300.0,-8446890.0
08,Sportförderung,PB,5121320.0,18835580.0,-13714260.0,5131090.0,18760040.0,-13628950.0,3871710.0,16138180.0,-12266470.0,1868640.0,65199860.0,-63331220.0,-75597690.0,3892850.0,16136430.0,-12243580.0,856000.0,41882300.0,-41026300.0,-53269880.0
0901,"Stadt-/Regionalentwicklung, Stadtplanung",PG,1870840.0,11597990.0,-9727150.0,1952330.0,11004180.0,-9051850.0,1870840.0,10761970.0,-8891130.0,,1336070.0,-1336070.0,-10227200.0,1952330.0,10224780.0,-8272450.0,,1266070.0,-1266070.0,-9538520.0
0902,"Vermessung, Kataster und Geoinformation",PG,1524710.0,9463290.0,-7938580.0,1241910.0,9237770.0,-7995860.0,1524710.0,8808770.0,-7284060.0,1020.0,235000.0,-233980.0,-7518040.0,1241910.0,8589240.0,-7347330.0,1020.0,245000.0,-243980.0,-7591310.0
09,"Räuml.Planung/Entwickl.,Geoinformation",PB,3395550.0,21061280.0,-17665730.0,3194240.0,20241950.0,-17047710.0,3395550.0,19570740.0,-16175190.0,1020.0,1571070.0,-1570050.0,-17745240.0,3194240.0,18814020.0,-15619780.0,1020.0,1511070.0,-1510050.0,-17129830.0
1001,Bauaufsicht und baurechtliche Beratung,PG,3421800.0,8162140.0,-4740340.0,3471700.0,8116470.0,-4644770.0,3421800.0,7098900.0,-3677100.0,420000.0,5000.0,415000.0,-3262100.0,3471700.0,7061970.0,-3590270.0,420000.0,5000.0,415000.0,-3175270.0
1002,Denkmalschutz und Denkmalpflege,PG,414000.0,1859860.0,-1445860.0,414000.0,1892410.0,-1478410.0,414000.0,1775690.0,-1361690.0,,,,-1361690.0,414000.0,1808910.0,-1394910.0,,,,-1394910.0
1003,Wohnen,PG,395290.0,6933870.0,-6538580.0,343590.0,6853120.0,-6509530.0,395290.0,6429200.0,-6033910.0,,,,-6033910.0,343590.0,6352630.0,-6009040.0,,,,-6009040.0
10,Bauen und Wohnen,PB,4231090.0,16955870.0,-12724780.0,4229290.0,16862000.0,-12632710.0,4231090.0,15303790.0,-11072700.0,420000.0,5000.0,415000.0,-10657700.0,4229290.0,15223510.0,-10994220.0,420000.0,5000.0,415000.0,-10579220.0
1101,Abwasserbeseitigung,PG,86972920.0,53952580.0,33020340.0,89245950.0,54850200.0,34395750.0,72191620.0,31801860.0,40389760.0,7950000.0,44180000.0,-36230000.0,4159760.0,74394650.0,32150650.0,42244000.0,2250000.0,45970000.0,-43720000.0,-1476000.0
1102,Abfallwirtschaft (AWM),PG,,,,,,,4000000.0,,4000000.0,,,,4000000.0,4000000.0,,4000000.0,,,,4000000.0
11,Ver- und Entsorgung,PB,86972920.0,53952580.0,33020340.0,89245950.0,54850200.0,34395750.0,76191620.0,31801860.0,44389760.0,7950000.0,44180000.0,-36230000.0,8159760.0,78394650.0,32150650.0,46244000.0,2250000.0,45970000.0,-43720000.0,2524000.0
1201,Bereitstellung Verkehrsflächen/-anlagen,PG,47168160.0,83066730.0,-35898570.0,47845660.0,83089990.0,-35244330.0,20659160.0,50778260.0,-30119100.0,18110000.0,34457000.0,-16347000.0,-46466100.0,21326660.0,50768330.0,-29441670.0,16670000.0,35600000.0,-18930000.0,-48371670.0
12,"Verkehrsflächen und -anlagen, ÖPNV",PB,47168160.0,83066730.0,-35898570.0,47845660.0,83089990.0,-35244330.0,20659160.0,50778260.0,-30119100.0,18110000.0,34457000.0,-16347000.0,-46466100.0,21326660.0,50768330.0,-29441670.0,16670000.0,35600000.0,-18930000.0,-48371670.0
1301,Grün- und Freiflächen,PG,1373370.0,20138550.0,-18765180.0,1330830.0,20078210.0,-18747380.0,960700.0,17861060.0,-16900360.0,441310.0,4870090.0,-4428780.0,-21329140.0,960700.0,18027510.0,-17066810.0,50000.0,4514750.0,-4464750.0,-21531560.0
1302,Friedhöfe,PG,2091670.0,2128980.0,-37310.0,2104590.0,2143770.0,-39180.0,1014170.0,1877010.0,-862840.0,2000.0,160970.0,-158970.0,-1021810.0,1019170.0,1897970.0,-878800.0,2000.0,160970.0,-158970.0,-1037770.0
1303,"Natur, Landschaft, Erholung,Wasserschutz",PG,410880.0,4336550.0,-3925670.0,388000.0,4340570.0,-3952570.0,290260.0,3938660.0,-3648400.0,88570.0,243010.0,-154440.0,-3802840.0,290260.0,3967040.0,-3676780.0,88570.0,359010.0,-270440.0,-3947220.0
1304,Fließende Gewässer,PG,1664060.0,2166980.0,-502920.0,1539600.0,2197030.0,-657430.0,973560.0,1642360.0,-668800.0,1550000.0,2402000.0,-852000.0,-1520800.0,839100.0,1652410.0,-813310.0,1650000.0,2502000.0,-852000.0,-1665310.0
1305,Wald und Forstwirtschaft,PG,263770.0,697720.0,-433950.0,263770.0,701170.0,-437400.0,263770.0,636440.0,-372670.0,4400.0,3960.0,440.0,-372230.0,263770.0,642220.0,-378450.0,4400.0,3960.0,440.0,-378010.0
13,Natur- und Landschaftspflege,PB,5803750.0,29468780.0,-23665030.0,5626790.0,29460750.0,-23833960.0,3502460.0,25955530.0,-22453070.0,2086280.0,7680030.0,-5593750.0,-28046820.0,3373000.0,26187150.0,-22814150.0,1794970.0,7540690.0,-5745720.0,-28559870.0
1401,Übergreifender Umweltschutz,PG,854580.0,5434270.0,-4579690.0,525540.0,5427340.0,-4901800.0,854580.0,5278500.0,-4423920.0,,1120.0,-1120.0,-4425040.0,525400.0,5274000.0,-4748600.0,,1120.0,-1120.0,-4749720.0
14,Umweltschutz,PB,854580.0,5434270.0,-4579690.0,525540.0,5427340.0,-4901800.0,854580.0,5278500.0,-4423920.0,,1120.0,-1120.0,-4425040.0,525400.0,5274000.0,-4748600.0,,1120.0,-1120.0,-4749720.0
1501,Anteile an Unternehmen,PG,18787380.0,13260480.0,5526900.0,18787380.0,14552110.0,4235270.0,28382260.0,13208440.0,15173820.0,34000.0,1500500.0,-1466500.0,13707320.0,30101410.0,14500070.0,15601340.0,34000.0,1500000.0,-1466000.0,14135340.0
1502,Stadtmarketing (MM),PG,,3759780.0,-3759780.0,,3834380.0,-3834380.0,,3759780.0,-3759780.0,,,,-3759780.0,,3834380.0,-3834380.0,,,,-3834380.0
1503,Stadthalle Hiltrup,PG,157240.0,235520.0,-78280.0,157240.0,236480.0,-79240.0,154000.0,211730.0,-57730.0,,20000.0,-20000.0,-77730.0,154000.0,213020.0,-59020.0,,20000.0,-20000.0,-79020.0
1504,Öffentliche Toilettenanlagen,PG,,476530.0,-476530.0,,651590.0,-651590.0,,420090.0,-420090.0,,499000.0,-499000.0,-919090.0,,529430.0,-529430.0,,822000.0,-822000.0,-1351430.0
15,Wirtschaft und Tourismus,PB,18944620.0,17732310.0,1212310.0,18944620.0,19274560.0,-329940.0,28536260.0,17600040.0,10936220.0,34000.0,2019500.0,-1985500.0,8950720.0,30255410.0,19076900.0,11178510.0,34000.0,2342000.0,-2308000.0,8870510.0
1601,Allgemeine Finanzwirtschaft,PG,904050000.0,171675300.0,732374700.0,917250000.0,177898300.0,739351700.0,915669000.0,242291000.0,673378000.0,82728590.0,110270000.0,-27541410.0,645836590.0,925780000.0,247225000.0,678555000.0,96587060.0,6520000.0,90067060.0,768622060.0
16,Allgemeine Finanzwirtschaft,PB,904050000.0,171675300.0,732374700.0,917250000.0,177898300.0,739351700.0,915669000.0,242291000.0,673378000.0,82728590.0,110270000.0,-27541410.0,645836590.0,925780000.0,247225000.0,678555000.0,96587060.0,6520000.0,90067060.0,768622060.0
1701,Rechtlich unselbständige Stiftungen,PG,17000.0,31680.0,-14680.0,17000.0,31680.0,-14680.0,,,,,,,,,,,,,,
17,Stiftungen,PB,17000.0,31680.0,-14680.0,17000.0,31680.0,-14680.0,,,,,,,,,,,,,,
,Gesamtsumme Stadt Münster,Summe,1660850270.0,1686533180.0,-25682910.0,1684643440.0,1701368570.0,-16725130.0,1618982680.0,1627774390.0,-8791710.0,136372200.0,534599890.0,-398227690.0,-407019400.0,1649088310.0,1649059520.0,28790.0,159391940.0,401236350.0,-241844410.0,-241815620.0
