section;source_file;pdf_page;printed_page;kind;year;code;label;level;unit;ordentliche_ertraege;ordentliche_aufwendungen;ordentliches_ergebnis;finanzergebnis;ergebnis_laufende_verwaltung;ausserordentliches_ergebnis;ergebnis_teilhaushalt;einzahlungen_laufend;auszahlungen_laufend;saldo_laufend;einzahlungen_investitionen;auszahlungen_investitionen;saldo_investitionen;finanzmittelueberschuss_fehlbetrag;einzahlungen_finanzierung;auszahlungen_finanzierung;saldo_finanzierung;verpflichtungsermaechtigungen
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0207;Statistik;product_group;EUR;550.00;709450.00;-708900.00;;-708900.00;;-708900.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0208;Wahlen;product_group;EUR;;2510.00;-2510.00;;-2510.00;;-2510.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0209;Brandschutz & feuerwehrt.Hilfeleistungen;product_group;EUR;2072010.00;44086450.00;-42014440.00;;-42014440.00;;-42014440.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0210;Rettungsdienst;product_group;EUR;32675100.00;35389130.00;-2714030.00;;-2714030.00;;-2714030.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0211;Veterinärwesen & Lebensmittelüberwachung;product_group;EUR;227620.00;3283980.00;-3056360.00;;-3056360.00;;-3056360.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;02;Sicherheit und Ordnung;product_area;EUR;60195770.00;122252990.00;-62057220.00;;-62057220.00;;-62057220.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0301;Leistungen für Schulen;product_group;EUR;3535630.00;42903040.00;-39367410.00;;-39367410.00;;-39367410.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0302;Zentr.Leist. f. am Schulleben Beteiligte;product_group;EUR;997820.00;15697530.00;-14699710.00;;-14699710.00;;-14699710.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;03;Schulträgeraufgaben;product_area;EUR;4533450.00;58600570.00;-54067120.00;;-54067120.00;;-54067120.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0401;Kulturmanagement / Kulturförderung;product_group;EUR;526590.00;6942140.00;-6415550.00;;-6415550.00;;-6415550.00;;;;;;;;;;;
