band,seite,tabelle,datei
1,112,0,band1_p112_PG0202_GewerberechtlicheAngelegenheiten_Tabelle_t0.csv
1,112,1,band1_p112_PG0202_GewerberechtlicheAngelegenheiten_Tabelle_t1.csv
1,113,0,band1_p113_PG0202_GewerberechtlicheAngelegenheiten_Teilergebnisplan_t0.csv
1,115,0,band1_p115_PG0202_GewerberechtlicheAngelegenheiten_Teilfinanzplan_t0.csv
1,117,0,band1_p117_PG0203_StrassenverkehrsrechtlicheAngelegenheiten_Beschreibung_t0.csv
1,118,0,band1_p118_PG0203_StrassenverkehrsrechtlicheAngelegenheiten_Tabelle_t0.csv
1,118,1,band1_p118_PG0203_StrassenverkehrsrechtlicheAngelegenheiten_Tabelle_t1.csv
1,118,2,band1_p118_PG0203_StrassenverkehrsrechtlicheAngelegenheiten_Tabelle_t2.csv
1,119,0,band1_p119_PG0203_StrassenverkehrsrechtlicheAngelegenheiten_Tabelle_t0.csv
1,120,0,band1_p120_PG0203_StrassenverkehrsrechtlicheAngelegenheiten_Teilergebnisplan_t0.csv
1,122,0,band1_p122_PG0203_StrassenverkehrsrechtlicheAngelegenheiten_Teilfinanzplan_t0.csv
1,125,0,band1_p125_PG0204_Burgerangelegenheiten_Beschreibung_t0.csv
1,126,0,band1_p126_PG0204_Burgerangelegenheiten_Kennzahlen_t0.csv
1,127,0,band1_p127_PG0204_Burgerangelegenheiten_Tabelle_t0.csv
1,127,1,band1_p127_PG0204_Burgerangelegenheiten_Tabelle_t1.csv
1,127,2,band1_p127_PG0204_Burgerangelegenheiten_Tabelle_t2.csv
1,128,0,band1_p128_PG0204_Burgerangelegenheiten_Tabelle_t0.csv
1,128,1,band1_p128_PG0204_Burgerangelegenheiten_Tabelle_t1.csv
1,128,2,band1_p128_PG0204_Burgerangelegenheiten_Tabelle_t2.csv
1,129,0,band1_p129_PG0204_Burgerangelegenheiten_Teilergebnisplan_t0.csv
1,131,0,band1_p131_PG0204_Burgerangelegenheiten_Teilfinanzplan_t0.csv
1,133,0,band1_p133_PG0205_Standesamtsangelegenheiten_Beschreibung_t0.csv
1,134,0,band1_p134_PG0205_Standesamtsangelegenheiten_Kennzahlen_t0.csv
1,135,0,band1_p135_PG0205_Standesamtsangelegenheiten_Teilergebnisplan_t0.csv
1,137,0,band1_p137_PG0205_Standesamtsangelegenheiten_Teilfinanzplan_t0.csv
1,139,0,band1_p139_PG0206_Auslanderangelegenheiten_Beschreibung_t0.csv
1,140,0,band1_p140_PG0206_Auslanderangelegenheiten_Kennzahlen_t0.csv
1,141,0,band1_p141_PG0206_Auslanderangelegenheiten_Kennzahlen_t0.csv
1,142,0,band1_p142_PG0206_Auslanderangelegenheiten_Tabelle_t0.csv
1,142,1,band1_p142_PG0206_Auslanderangelegenheiten_Tabelle_t1.csv
1,143,0,band1_p143_PG0206_Auslanderangelegenheiten_Teilergebnisplan_t0.csv
1,147,0,band1_p147_PG0207_Statistik_Beschreibung_t0.csv
1,148,0,band1_p148_PG0207_Statistik_Kennzahlen_t0.csv
1,149,0,band1_p149_PG0207_Statistik_Tabelle_t0.csv
1,149,1,band1_p149_PG0207_Statistik_Tabelle_t1.csv
1,150,0,band1_p150_PG0207_Statistik_Teilergebnisplan_t0.csv
