Transferaufwendungen,,Ist 2024,Ansatz 2025,fortgeschr. Ansatz 2025,Ansatz 2026,Ansatz 2027,Plan 2028,Plan 2029,Plan 2030
,,(in %),(in %),(in %),(in %),(in %),(in %),(in %),(in %)
,Anteil an den ordentlichen Aufwendungen,"52,0","53,2","52,9","53,3","53,6","54,0","54,0","53,9"
