Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
1130Technologieförderung MünsterGmbH,,,,,,,,,,,
AuszahlungfürdenErwerbvon Finanzanlagen,"0,00",4.000.000,0,0,0,0,0,0,0,4.000.000,4.000.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",4.000.000-,0,0,,,0,0,0,4.000.000-,4.000.000-
