,,,,,,,,
Beschreibung DasSportamtunterhältundbetreibtzurSicherungangemessenerSchwimm-undBademöglichkeitensiebenHallenbäderunddreiFreibäder. ErgänzendfördertdasSportamtdasvereinseigeneFreibadderSchwimmvereinigungMünstervon1891e.VinSudmühleunddasBadderBürgerbadHandorfgGmbH.,,,,,,,,
BesonderheitenindenPlanjahren EinführungeinesneuenKassensystemsindenstädtischenHallen-undFreibädern AbschlussweitererSchlüsselgewaltverträgemitwassersporttreibendenVereinen,,,,,,,,
Ziele 1.PositiveEntwicklungderInanspruchnahmevonstädt.Hallen-undFreibädern 2.VerbesserungderAufenthaltsqualitätunddesFreizeitangebotsinstädt.Hallen-undFreibädern 3.FörderungdersportlichenAktivitätundSchwimmkompetenzen,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
Zielkennzahlen -Zum1.Ziel:AnzahlderBesucher*innen,,425.000,435.000,,435.000,435.000,435.000,430.000
Standardkennzahlen -Teilergebnis(Zeile29)proEinwohner/in(inEuro) -Aufwandsdeckungsgrad(in%),"-29,72","-31,33","-32,29",,"-32,25","-29,87","-30,18","-30,68"
,"12,8","17,7","18,5",,"18,5","24,8","24,6","24,3"
