InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",4.500,4.500,4.500,,,4.500,4.500,4.500,,
Auszahlung,"0,00",4.500,4.500,4.500,0,0,4.500,4.500,4.500,,
Saldo(Einzahlungen./. Auszahlungen),"0,00",0,0,0,,,0,0,0,,
