1,2,3 1),4 2),5 3),6
Nr.,Fraktion,Haushaltsansatz,,Ergebnis der Jahresrechnung,Erläuterungen
,,2026,2025,2024,
,BV-Münster-Ost,,,,
9,CDU-Fraktion,"2.496,00 €","2.808,00 €","2.808,00 €","26,00 €/ mtl./ Mitglied (8 Mitglieder) bis 30.06.2025 9 Mitglieder"
10,Fraktion Bündnis 90/Die Grünen,"1.560,00 €","1.872,00 €","1.872,00 €","26,00 €/ mtl./ Mitglied (5 Mitglieder) bis zum 31.10.2025 6 Mitglieder"
11,SPD-Fraktion,"624,00 €","936,00 €","936,00 €","26,00 €/ mtl./ Mitglied (2 Mitglieder) bis zum 31.10.2025 3 Mitglieder"
,BV Münster-Südost,,,,
12,CDU-Fraktion,"2.496,00 €","2.184,00 €","2.496,00 €","26,00 €/ mtl./ Mitglied (8 Mitglieder) vom 04.10.2024 bis 31.10.2025 7 Mitglieder"
13,Fraktion Bündnis 90 / Die Grünen / GAL,"1.560,00 €","1.560,00 €","1.560,00 €","26,00 €/ mtl./ Mitglied (5 Mitglieder)"
14,SPD-Fraktion,"624,00 €","936,00 €","936,00 €","26,00 €/ mtl./ Mitglied (2 Mitglieder) bis zum 31.10.2025 3 Mitglieder"
,BV Münster-Hiltrup,,,,
15,CDU-Fraktion,"2.496,00 €","2.496,00 €","2.496,00 €","26,00 €/ mtl./ Mitglied (8 Mitglieder)"
16,Fraktion Bündnis 90 / Die Grünen / GAL,"1.248,00 €","1.248,00 €","1.248,00 €","26,00 €/ mtl./ Mitglied (4 Mitglieder)"
17,SPD-Fraktion,"936,00 €","1.248,00 €","1.248,00 €","26,00 €/ mtl./ Mitglied (3 Mitglieder) bis zum 31.10.2025 4 Mitglieder"
,BV Münster-West,,,,
18,CDU-Fraktion,"1.872,00 €","2.184,00 €","2.184,00 €","26,00 €/ mtl./ Mitglied (6 Mitglieder) bis zum 31.10.2025 7 Mitglieder"
19,Fraktion Bündnis 90 / Die Grünen / GAL,"1.872,00 €","1.872,00 €","1.872,00 €","26,00 €/ mtl./ Mitglied (6 Mitglieder)"
20,SPD-Fraktion,"936,00 €","936,00 €","936,00 €","26,00 €/ mtl./ Mitglied (3 Mitglieder)"
