Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
0020Einrichtung Flüchtlingsunterkünfte,,,,,,,,,,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"137.141,66",259.330,99.090,101.080,0,0,103.100,105.160,107.260,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"137.141,66-",259.330-,99.090-,101.080-,,,103.100-,105.160-,107.260-,,
