Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
"4169KläranlageHäger, Aufhebung",,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"5.629.503,10",784.701,0,0,0,0,0,0,0,13.090.207,13.090.207
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"5.629.503,10-",784.701-,0,0,,,0,0,0,13.090.207-,13.090.207-
