InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",0,0,0,,,0,0,0,,
Auszahlung,"0,00",2.160,2.160,2.160,0,0,2.160,2.160,2.160,,
Saldo(Einzahlungen./. Auszahlungen),"0,00",2.160-,2.160-,2.160-,,,2.160-,2.160-,2.160-,,
