Lfd.,Produkt-,Amt,Aus-,Empfänger,Verwendungszweck / Zielsetzung,Zuschuss 2026 in €,davon Personal- kosten,davon,davon sonst. Kosten,Zuschuss 2027 in €,davon Personal- kosten,davon,davon sonst. Kosten,verpflichtende/,zeitliche
Nr.,gruppe,,schuss,,,,,Overhead,,,,Overhead,,freiwillige Leistung,Befristung
216,0603,51,AKJF,SeHT Münster e. V.,a) Jugendsozialarbeit für junge Menschen mit / ohne Entwicklungsbesonderheiten / Behinderungen b) Kinder- und Jugendförderung mit zwei Schwerpunkten,244.046,220.286,0,23.760,248.452,224.692,0,23.760,dem Grunde nach,31.12.2028
217,0603,51,AKJF,Verbund sozialtherapeutischer Einrichtungen e. V.,"""Track"" - Beratungsstelle für LSBTQ",70.483,63.623,0,6.860,71.756,64.896,0,6.860,dem Grunde nach,31.12.2028
218,0603,51,AKJF,Verein für Mototherapie und Psychomotorische Entwicklungsförderung e.V.,Ganzheitliche psychomotorische Entwicklungsförderung an weiterführenden Schulen im Bildungsgang Hauptschule,57.653,54.363,0,3.290,58.741,55.451,0,3.290,dem Grunde nach,31.12.2028
219,0603,51,AKJF,INDRO e.V.,"Angebote in der Drogenhilfe (incl. ""Drogentherapeutische Ambulanz"")",869.346,796.736,0,72.610,885.281,812.671,0,72.610,dem Grunde nach,31.12.2028
220,0604,51,AKJF,Familienbildung Friedensstraße ehemals Anna Krückmann Haus,Familienbildung,72.666,-,-,-,73.991,-,-,-,dem Grunde nach,31.12.2030
221,0604,51,AKJF,Familienbildung Friedensstraße ehemals Anna Krückmann Haus,Sure Start Hiltrup-Eltern im Fokus präventiver Angebote,17.605,-,-,-,17.923,-,-,-,dem Grunde nach,31.12.2030
222,0604,51,AKJF,Familienbildung Friedensstraße ehemals Anna Krückmann Haus,Präventionsgruppe-Eltern im Fokus präventiver Angebote,9.653,-,-,-,9.828,-,-,-,dem Grunde nach,31.12.2030
223,0604,51,AKJF,Familienbildung Friedensstraße ehemals Anna Krückmann Haus,Sure Start Coerde II V/0279/2018-Eltern im Fokus präventiver Angebote,14.548,-,-,-,14.812,-,-,-,dem Grunde nach,31.12.2030
224,0604,51,AKJF,Familienbildung Friedensstraße ehemals Anna Krückmann Haus,Anna Krückmann Haus Sure Start Coerde Familien stärken -Eltern im Fokus präventiver Angebote,18.394,-,-,-,18.727,-,-,-,dem Grunde nach,31.12.2030
225,0604,51,AKJF,ASB e.V.,Familienbildung,44.710,-,-,-,45.525,-,-,-,dem Grunde nach,31.12.2030
226,0604,51,AKJF,Familienbildung Friedensstraße und Haus der Familie jeweils 50%,Wellcome,12.295,-,-,-,12.519,-,-,-,dem Grunde nach,31.12.2030
227,0604,51,AKJF,Ev. Familienbildungsstätte e.V.,Familienbildung,40.953,-,-,-,41.700,-,-,-,dem Grunde nach,31.12.2030
228,0604,51,AKJF,Haus der Familie,Familienbildung,116.931,-,-,-,119.064,-,-,-,dem Grunde nach,31.12.2030
229,0604,51,AKJF,Haus der Familie,Sure Start Gievenbeck-Eltern im Fokus präventiver Angebote,18.394,-,-,-,18.727,-,-,-,dem Grunde nach,31.12.2030
230,0604,51,AKJF,Haus der Familie,"Sure Start Kinderhaus,Eltern im Fokus präventiver Angebote",12.367,-,-,-,12.591,-,-,-,dem Grunde nach,31.12.2030
231,0604,51,AKJF,Haus der Familie,Sure Start Berg Fidel -Eltern im Fokus präventiver Angebote,17.571,-,-,-,17.889,-,-,-,dem Grunde nach,31.12.2030
232,0604,51,AKJF,Begegnungszentrum Kinderhaus e.V.,Mädchenarbeit im Begegnungszentrum Kinderhaus,3.875,-,-,-,3.875,-,-,-,dem Grunde nach,31.12.2031
233,0604,51,AKJF,Beratungstelle Südviertel e.V.,Erziehungsberatung (40%/60% in PG 0605),204.848,-,-,-,208.585,-,-,-,dem Grunde nach,31.12.2029
234,0604,51,AKJF,Beratungstelle Südviertel e.V.,Jump -Eltern im Fokus präventiver Angebote,89.688,-,-,-,91.325,-,-,-,dem Grunde nach,31.12.2029
