Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
4090Bauk.Einrichtungoffener Ganztagsschulen,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",0,0,0,,,0,0,0,3.725.318,3.725.318
AuszahlungfürBaumaßnahmen,"75.067,86",1.402.585,3.400.000,3.400.000,3.000.000,3.000.000,3.400.000,2.600.000,0,5.928.993,18.728.993
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"0,00",0,300.000,300.000,0,0,300.000,200.000,0,148.594,1.248.594
Verpflichtungsermächtigung2026zuLasten,,,,3.000.000,,,0,0,0,,
Verpflichtungsermächtigung2027zuLasten,,,,0,,,3.000.000,0,0,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"75.067,86-",1.402.585-,3.700.000-,3.700.000-,,,3.700.000-,2.800.000-,0,2.352.269-,16.252.269-
