"4287 Theod.ScheiweStr.Urb.Stadtquart,",Bp642,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",100.000,50.000,50.000,0,0,100.000,100.000,100.000,100.000,5.900.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",100.000-,50.000-,50.000-,,,100.000-,100.000-,100.000-,100.000-,5.900.000-
