Lfd.,Produkt-,Amt,Aus-,Empfänger,Verwendungszweck / Zielsetzung,Zuschuss 2026 in €,davon Personal- kosten,davon,davon sonst. Kosten,Zuschuss 2027 in €,davon Personal- kosten,davon,davon sonst. Kosten,verpflichtende/,zeitliche
Nr.,gruppe,,schuss,,,,,Overhead,,,,Overhead,,freiwillige Leistung,Befristung
332,1401,67,AUKB,Trägerverein Emshof,Betriebskostenzuschuss Emshof,53.210,0,0,53.210,53.210,0,0,53.210,freiwillig,jährlich
333,1401,67,AUKB,Umweltforum Münster e.V.,"Betriebskosten, Personalkosten, Mittel für Umweltaktionen",81.890,74.689,0,7.201,83.390,76.183,0,7.207,freiwillig,jährlich
334,1401,67,AUKB,Verein Münster nachhaltig e. V.,Förderung der Vereinsarbeit und der Durchführung des Tages der Nachhaltigkeit,28.520,15.009,0,13.511,28.730,15.216,0,13.514,freiwillig,31.12.2030
335,1401,67,AUKB,Ernährungsrat Münster i.G.,Projektmittel (inkl. Projektstelle) für den Ernährungsrat Münster,46.010,37.958,0,8.052,45.000,38.250,0,6.750,freiwillig,31.12.2028
336,1401,67,AUKB,B-Side Kultur e.V.,Betrieb der offenen Hansawerkstatt in der B-Side,70.080,70.080,0,0,70.000,70.000,0,0,freiwillig,31.12.2030
337,1401,67,AUKB,Vamos e.V.,Institutionelle Förderung von kommunaler Bildungsarbeit im Bereich Bildung für nachhaltige Entwicklung bei Vamos e. V.,19.180,9.344,0,9.836,19.360,9.531,0,9.829,freiwillig,31.12.2027
338,1401,67,AUKB,NABU-Münsterland gGmbH,Förderung der Kofinanzieurng von Bildungsarbeit im Bereich Bildung für nachhaltige Entwicklung,16.130,0,0,16.130,16.130,0,0,16.130,freiwillig,31.12.2028
339,1401,Dez.O B,AUKB,Trägerkreis Münsteraner Klimage- spräche c/o Umweltforum e.V.,"Projekt ""Münsteraner Klimagespräche""",4.500,0,0,4.500,4.500,0,0,4.500,freiwillig,31.12.2027
