0030Fahrzeuge/Geräte übertrageneSportanl.,,,,,,,,,,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"100.116,93",148.500,91.350,91.350,91.350,91.350,91.350,91.350,91.350,,
Verpflichtungsermächtigung2026zuLasten,,,,91.350,,,0,0,0,,
Verpflichtungsermächtigung2027zuLasten,,,,0,,,91.350,0,0,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"100.116,93-",148.500-,91.350-,91.350-,,,91.350-,91.350-,91.350-,,
