"4262Feldstiege/Beerwiede, BG",,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",100.000,20.000,50.000,0,0,50.000,50.000,500.000,100.000,7.270.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",100.000-,20.000-,50.000-,,,50.000-,50.000-,500.000-,100.000-,7.270.000-
