Ergebnisplan,,Ist 2024,Ansatz 2025,fortgeschr. Ansatz 2025,Ansatz 2026,Ansatz 2027,Plan 2028,Plan 2029,Plan 2030
Zeile,Bezeichnung,(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro)
"02, 04, 07",Erträge aus Auflösung von Sonderposten,"48,7","50,2","50,2","50,6","50,2","50,9","50,8","50,6"
14,Bilanzielle Abschreibungen,"88,4","90,2","90,2","91,4","91,7","92,1","92,5","93,1"
,Saldo,"-39,7","-40,0","-40,0","-40,8","-41,5","-41,2","-41,7","-42,5"
