4330KI-SystemErkennung Gefahrensituationen,,,,,,,,,,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"0,00",0,100.000,100.000,100.000,0,0,0,0,0,200.000
Verpflichtungsermächtigung2026zuLasten,,,,100.000,,,0,0,0,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",0,100.000-,100.000-,,,0,0,0,0,200.000-
