0020Herrichtung strategischerLiegenschaften,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",70.000,70.000,70.000,0,0,70.000,70.000,70.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",70.000-,70.000-,70.000-,,,70.000-,70.000-,70.000-,,
