9,Abschreibungen,"9.789.000,00 €","10.000.000,00 €","10.000.000,00 €","10.000.000,00 €","10.000.000,00 €"
10,Betriebliches Ergebnis,"4.613.000,00 €","4.585.000,00 €","4.558.000,00 €","4.531.000,00 €","4.505.000,00 €"
