InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",0,0,0,,,0,0,0,,
Auszahlung,"0,00",1.080,1.080,1.080,0,0,1.080,1.080,1.080,,
Saldo(Einzahlungen./. Auszahlungen),"0,00",1.080-,1.080-,1.080-,,,1.080-,1.080-,1.080-,,
