Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
6200Startchancenprogramm SäuleI,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",0,330.000,330.000,,,330.000,330.000,330.000,0,1.650.000
AuszahlungfürBaumaßnahmen,"0,00",0,235.000,235.000,0,0,235.000,235.000,235.000,0,2.115.000
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"0,00",0,235.000,235.000,0,0,235.000,235.000,235.000,0,2.115.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",0,140.000-,140.000-,,,140.000-,140.000-,140.000-,0,2.580.000-
