Deckung der Auszahlungen durch die,,Ist,Ansatz,fortgeschr.,Ansatz,Ansatz,Plan,Plan,Plan
Einzahlungen aus Investitionstätigkeit,,2024,2025,Ansatz 2025,2026,2027,2028,2029,2030
,,(in %),(in %),(in %),(in %),(in %),(in %),(in %),(in %)
,Deckungsquote,"24,6","25,6","18,3","25,5","39,7","40,7","63,2","73,2"
