InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",0,0,0,,,0,0,0,,
Auszahlung,"0,00",1.620,1.620,1.620,0,0,1.620,1.620,1.620,,
Saldo(Einzahlungen./. Auszahlungen),"0,00",1.620-,1.620-,1.620-,,,1.620-,1.620-,1.620-,,
