Kompensation der Abschreibungen durch die Auflösung von Sonderposten,,Ist 2024,Ansatz 2025,fortgeschr. Ansatz 2025,Ansatz 2026,Ansatz 2027,Plan 2028,Plan 2029,Plan 2030
,,(in %),(in %),(in %),(in %),(in %),(in %),(in %),(in %)
,Deckungsquote,"55,1","55,6","55,6","55,3","54,7","55,2","55,0","54,4"
