Lfd.,Produkt-,Amt,Aus-,Empfänger,Verwendungszweck / Zielsetzung,Zuschuss 2026 in €,davon Personal- kosten,davon,davon sonst. Kosten,Zuschuss 2027 in €,davon Personal- kosten,davon,davon sonst. Kosten,verpflichtende/,zeitliche
Nr.,gruppe,,schuss,,,,,Overhead,,,,Overhead,,freiwillige Leistung,Befristung
25,0104,17,AGL,ca. 5 Projektträger/ Gruppen aus dem Bereich Männerorganisationen,"Projekte, Fachtagungen, Aktionen",6.235,0,0,6.235,6.235,0,0,6.235,freiwillig,31.12.2028
26,0108,10,APSO,Betriebssportgemeinschaft Stadt Münster e. V.,Förderung des Betriebssports,4.350,0,0,4.350,4.350,0,0,4.350,freiwillig,31.12.2030
27,0113,10,APSO,Alexianer Textilpflege GmbH,Mitarbeitendenzuschuss Essen,61.000,0,0,61.000,62.000,0,0,62.000,freiwillig,31.12.2030
28,0113,10,APSO,Aramark GmbH,Mitarbeitendenzuschuss Essen,41.000,0,0,41.000,42.000,0,0,42.000,freiwillig,31.12.2030
29,0116,36,ACI,Haus der Familie Münster Katholisches Bildungsforum im Stadtdekanat Münster e.V.,Qualifizierung Kulturmittlerin,23.295,9.605,0,13.690,23.487,9.797,0,13.690,freiwillig,31.12.2027
30,0116,36,ACI,Haus der Familie Münster Katholisches Bildungsforum im Stadtdekanat Münster e.V.,Qualifizierung Kulturmittler,30.730,13.560,0,17.170,31.001,13.831,0,17.170,freiwillig,31.12.2027
31,0116,36,ACI,"Vereine, Träger, Initiativen",Unterstützung von Vereinen und Gruppierungen im Bereich Migration/Integration,26.700,0,0,26.700,26.700,0,0,26.700,freiwillig,31.12.2030
32,0116,36,ACI,"Vereine, Träger, Initiativen","Veranstaltungen ""Wochen gegen Rassismus""",5.800,0,0,5.800,5.800,0,0,5.800,freiwillig,31.12.2030
33,0116,36,ACI,"Vereine, Träger, Initiativen",Einzelprojekte,8.532,0,0,8.532,8.532,0,0,8.532,freiwillig,31.12.2030
34,0116,36,ACI,Träger (Wohlfahrt) im Kommunalen Integrationsmanagement NRW (KIM),Zuschuss für Kosten im Case Management,58.200,0,0,58.200,58.200,0,0,58.200,freiwillig,jährlich
35,0116,36,ACI,Initiative Antidiskriminierungsstelle,"(1,25 VZÄ) politischer Beschluss",0,0,0,0,125.000,125.000,0,0,freiwillig,31.12.2030
36,0116,36,ACI,Iriba-Brunnen e.V.,Zuschuss zu Miete und Sachkosten,9.220,0,0,9.220,9.220,0,0,9.220,freiwillig,31.12.2027
37,0201,32,APSO,"Vereine, Veranstalter",Zuschüsse Sicherheitsmaßnahmen,30.000,0,0,30.000,30.000,0,0,30.000,freiwillig,31.12.2030
38,0203,32,APSO,ISG Bahnhofsviertel e.V.,Kooperationsprojekt zwischen Fahrradkontolldienst und ISG,26.000,26.000,0,0,26.000,26.000,0,0,freiwillig,30.06.2028
39,0209,37,APSO,Musikkorps der Freiwilligen Feuerwehr Münster,Zuschuss Instrumentengeld,2.500,0,0,2.500,2.500,0,0,2.500,freiwillig,31.12.2032
40,0209,37,APSO,Musikkorps der Freiwilligen Feuerwehr Münster,Dirigentenzuschuss,1.010,1.010,0,0,1.010,1.010,0,0,freiwillig,31.12.2032
