Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
0100Kl. Invest.f.städt.Jugendeinrichtungen,,,,,,,,,,,
Einzahlungausder VeräußerungvonSachanlagen,"6.250,00",0,0,0,,,0,0,0,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"86.847,14",164.744,100.000,100.000,0,0,100.000,100.000,100.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"80.597,14-",164.744-,100.000-,100.000-,,,100.000-,100.000-,100.000-,,
