Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
5080ErweiterungRealschule imKreuzviertel,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"15.049,77",774.101,0,0,0,0,0,0,0,874.519,874.519
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"15.049,77-",774.101-,0,0,,,0,0,0,874.519-,874.519-
