InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",0,0,0,,,0,0,0,,
Auszahlung,"0,00",0,115.000,25.000,0,0,0,0,0,,
Saldo(Einzahlungen./. Auszahlungen),"0,00",0,115.000-,25.000-,,,0,0,0,,
