InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",0,0,0,,,0,0,0,,
Auszahlung,"51.651,78",106.416,0,109.000,0,0,0,0,0,,
Saldo(Einzahlungen./. Auszahlungen),"51.651,78-",106.416-,0,109.000-,,,0,0,0,,
