Produktbereiche/Produktgruppen,Ordentliche Erträge,Ordentliche,ordentliches,Finanz-,Ergebnis der lfd. Verw- tätigkeit,Außer- ordentl. Ergebnis,Ergebnis des
,,Aufwendungen,Ergebnis,ergebnis,,,Teilhaushaltes*
,EUR,EUR,EUR,EUR,EUR,EUR,EUR
0401 Kulturmanagement / Kulturförderung,"526.590,00","6.942.140,00","6.415.550,00-",,"6.415.550,00-",,"6.415.550,00-"
0402 Volkshochschule,"2.861.600,00","4.130.480,00","1.268.880,00-",,"1.268.880,00-",,"1.268.880,00-"
0403 Westf. Schule für Musik,"2.821.670,00","7.793.490,00","4.971.820,00-",,"4.971.820,00-",,"4.971.820,00-"
0404 Stadtbücherei u. Förderung freier Träger,"764.300,00","6.442.600,00","5.678.300,00-",,"5.678.300,00-",,"5.678.300,00-"
0405 Stadtmuseum,"228.500,00","2.045.790,00","1.817.290,00-",,"1.817.290,00-",,"1.817.290,00-"
0406 Stadtarchiv,"62.410,00","1.171.420,00","1.109.010,00-",,"1.109.010,00-",,"1.109.010,00-"
0407 Theater Münster,"25.000,00","26.168.830,00","26.143.830,00-",,"26.143.830,00-",,"26.143.830,00-"
0408 Geschichtsort Villa ten Hompel,"264.290,00","957.610,00","693.320,00-",,"693.320,00-",,"693.320,00-"
04 Kultur und Wissenschaft,"7.554.360,00","55.652.360,00","48.098.000,00-",,"48.098.000,00-",,"48.098.000,00-"
0501 Leist. der Grundsicherung f. Arbeitsuchende,"197.969.720,00","227.488.530,00","29.518.810,00-",,"29.518.810,00-",,"29.518.810,00-"
0502 Sicherung Lebensunterhalt,"71.682.020,00","92.624.490,00","20.942.470,00-",,"20.942.470,00-",,"20.942.470,00-"
0503 Sicherung besonderer sozialer Bedarfe,"6.819.930,00","73.322.880,00","66.502.950,00-",,"66.502.950,00-",,"66.502.950,00-"
0504 Wohngeld,"3.000,00","2.921.960,00","2.918.960,00-",,"2.918.960,00-",,"2.918.960,00-"
05 Soziale Leistungen,"276.474.670,00","396.357.860,00","119.883.190,00-",,"119.883.190,00-",,"119.883.190,00-"
0601 Förderung von Kindern in Tagesbetreuung,"128.870.040,00","218.007.240,00","89.137.200,00-",,"89.137.200,00-",,"89.137.200,00-"
0602 Kinder- und Jugendarbeit,"28.100.440,00","46.262.570,00","18.162.130,00-",,"18.162.130,00-",,"18.162.130,00-"
0603 Förd. v. benachteiligten jungen Menschen,"548.010,00","10.676.380,00","10.128.370,00-",,"10.128.370,00-",,"10.128.370,00-"
0604 Familienförderung,"363.890,00","5.987.210,00","5.623.320,00-",,"5.623.320,00-",,"5.623.320,00-"
0605 Erzieh.u.wirtschaftl.Hilfen für Familien,"26.491.370,00","117.844.510,00","91.353.140,00-",,"91.353.140,00-",,"91.353.140,00-"
"06 Kinder-, Jugend- und Familienhilfe","184.373.750,00","398.777.910,00","214.404.160,00-",,"214.404.160,00-",,"214.404.160,00-"
0701 Gesundheitsdienste,"3.089.970,00","17.433.250,00","14.343.280,00-",,"14.343.280,00-",,"14.343.280,00-"
07 Gesundheitsdienste,"3.089.970,00","17.433.250,00","14.343.280,00-",,"14.343.280,00-",,"14.343.280,00-"
"0801 Sportentwicklung, Sportanlagen/-stätten","2.764.120,00","9.697.260,00","6.933.140,00-",,"6.933.140,00-",,"6.933.140,00-"
0802 Bäder,"2.357.200,00","9.138.320,00","6.781.120,00-",,"6.781.120,00-",,"6.781.120,00-"
08 Sportförderung,"5.121.320,00","18.835.580,00","13.714.260,00-",,"13.714.260,00-",,"13.714.260,00-"
"0901 Stadt-/Regionalentwicklung, Stadtplanung","1.870.840,00","11.597.990,00","9.727.150,00-",,"9.727.150,00-",,"9.727.150,00-"
"0902 Vermessung, Kataster und Geoinformation","1.524.710,00","9.463.290,00","7.938.580,00-",,"7.938.580,00-",,"7.938.580,00-"
"09 Räuml.Planung/Entwickl.,Geoinformation","3.395.550,00","21.061.280,00","17.665.730,00-",,"17.665.730,00-",,"17.665.730,00-"
1001 Bauaufsicht und baurechtliche Beratung,"3.421.800,00","8.162.140,00","4.740.340,00-",,"4.740.340,00-",,"4.740.340,00-"
1002 Denkmalschutz und Denkmalpflege,"414.000,00","1.859.860,00","1.445.860,00-",,"1.445.860,00-",,"1.445.860,00-"
1003 Wohnen,"395.290,00","6.933.870,00","6.538.580,00-",,"6.538.580,00-",,"6.538.580,00-"
10 Bauen und Wohnen,"4.231.090,00","16.955.870,00","12.724.780,00-",,"12.724.780,00-",,"12.724.780,00-"
1101 Abwasserbeseitigung,"86.972.920,00","53.952.580,00","33.020.340,00",,"33.020.340,00",,"33.020.340,00"
1102 Abfallwirtschaft (AWM),,,,"4.000.000,00","4.000.000,00",,"4.000.000,00"
11 Ver- und Entsorgung,"86.972.920,00","53.952.580,00","33.020.340,00","4.000.000,00","37.020.340,00",,"37.020.340,00"
1201 Bereitstellung Verkehrsflächen/-anlagen,"47.168.160,00","83.066.730,00","35.898.570,00-","5.000,00-","35.903.570,00-",,"35.903.570,00-"
"12 Verkehrsflächen und -anlagen, ÖPNV","47.168.160,00","83.066.730,00","35.898.570,00-","5.000,00-","35.903.570,00-",,"35.903.570,00-"
