Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
4230Herstellung KlimaneutralitätGebäude,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"75.000,00",0,0,0,,,0,0,0,219.750,219.750
AuszahlungfürBaumaßnahmen,"6.387.216,18",24.140.020,11.674.950,16.330.000,21.500.000,0,8.500.000,3.154.170,1.000.000,42.537.049,83.196.169
Verpflichtungsermächtigung2026zuLasten,,,,15.000.000,,,3.500.000,3.000.000,0,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"6.312.216,18-",24.140.020-,11.674.950-,16.330.000-,,,8.500.000-,3.154.170-,1.000.000-,42.317.299-,82.976.419-
