Finanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
32,= Finanzmittelüberschuss/-fehlbetrag (=Zeilen17und31),"261.087.293,00-",565.897.519-,407.019.400-,241.815.620-,118.223.630-,9.207.350-,2.813.270-
33,+ EinzahlungenausderAufnahmeunddurch RückflüssevonKreditenfürInvestitionen+ wirtsch.gleichk.Rechtsverhältnissen + EinzahlungenausderAufnahmeunddurch RückflüssevonKreditenzurLiquiditätssicherung - AuszahlungenfürdieTilgungundGewährungvon KreditenfürInvestitionen+wirtsch. gleichkommendenRechtsverhältnissen - AuszahlungenfürdieTilgungundGewährungvon KreditenzurLiquiditätssicherung,"235.120.627,82",581.633.840,421.363.520,266.080.590,171.129.780,74.972.550,62.438.430
34,,"115.015.647,66",787.061.668,709.417.513,768.243.543,792.430.393,815.760.193,844.232.033
35,,"50.362.903,14",66.587.000,62.089.000,83.091.000,77.093.000,89.095.000,88.097.000
36,,"30.124.960,78",653.164.805,787.061.668,709.417.513,768.243.543,792.430.393,815.760.193
37,= SaldoausFinanzierungstätigkeit,"269.648.411,56",648.943.704,281.630.365,241.815.620,118.223.630,9.207.350,2.813.270
38,= ÄnderungdesBestandesaneigenenFinanzmitteln (=Zeilen32und37),"8.561.118,56",83.046.184,125.389.035-,0,0,0,0
39,+ AnfangsbestandanFinanzmitteln,"24.353.128,49",42.342.851,125.389.035,0,0,0,0
40,+ ÄnderungdesBestandesanfremdenFinanzmitteln,"9.428.603,89",0,0,0,0,0,0
41,"= LiquideMittel (=Zeilen38,39und40)","42.342.850,94",125.389.035,0,0,0,0,0
