Produktbereiche/Produktgruppen,Einzahlung,Auszahlung,Saldo aus,Einz. aus,Ausz. aus,Saldo aus,Finanzmittel-,Einz. aus Fi-,Ausz. aus Fi-,Saldo aus Fi-,Verpflich-
,aus lfd. Verw-,aus lfd. Verw-,lfd. Verw-,Investitions-,Investitions-,Investitions-,überschuss/,nanzierungs-,nanzierungs-,nanzierungs-,tungsermäch-
,tätigkeit,tätigkeit,tätigkeit,tätigkeit,tätigkeit,tätigkeit,-fehlbetrag,tätigkeit,tätigkeit,tätigkeit,tigungen
,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR
0101 Bezirksvertretungen/frei verfügb. Mittel,,338.560,338.560-,,,,338.560-,,,,
"0102 GF für polit. Gremien, internat. Beziehungen",288.240,5.611.430,5.323.190-,,2.000,2.000-,5.325.190-,,,,
"0103 OB, BM und Verwaltungsführung",264.210,8.134.050,7.869.840-,,7.340,7.340-,7.877.180-,,,,
0104 Gleichstellung aller Geschlechter,4.000,2.241.830,2.237.830-,,,,2.237.830-,,,,
0105 Personal- u. Schwerbehindertenvertretung,210.000,1.890.490,1.680.490-,,,,1.680.490-,,,,
0106 Wirtschaftlichkeitsprüfung und Revision,61.660,1.843.340,1.781.680-,,,,1.781.680-,,,,
0107 Public Relations,58.300,1.802.310,1.744.010-,,2.160,2.160-,1.746.170-,,,,
0108 Personal- und Organisationsmanagement,3.149.000,25.937.970,22.788.970-,,,,22.788.970-,,,,
0109 Finanz- und Beteiligungsmanagement,1.983.700,14.842.340,12.858.640-,,10.000,10.000-,12.868.640-,,,,
0110 Recht,682.860,7.378.930,6.696.070-,,,,6.696.070-,,,,
0111 Immobilienmanagement,19.615.790,99.432.320,79.816.530-,6.910.050,55.014.950,48.104.900-,127.921.430-,,,,54.710.000-
0113 Zentrale Dienste,1.557.300,21.213.350,19.656.050-,6.000,17.960.600,17.954.600-,37.610.650-,,,,40.027.470-
0114 Verwaltung der Kommunalen Stiftungen,500.000,496.480,3.520,,,,3.520,,,,
0115 IT-Management (citeq),,8.000,8.000-,3.890.000,4.848.470,958.470-,966.470-,,,,
0116 Migrations- u. Integrationsmanagement,693.320,1.197.640,504.320-,,,,504.320-,,,,
01 Innere Verwaltung,29.068.380,192.369.040,163.300.660-,10.806.050,77.845.520,67.039.470-,230.340.130-,,,,94.737.470-
0201 Ordnungsrechtliche Angelegenheiten,485.000,6.957.350,6.472.350-,,8.640,8.640-,6.480.990-,,,,
0202 Gewerberechtliche Angelegenheiten,1.330.000,2.028.500,698.500-,,,,698.500-,,,,
0203 Straßenverkehrsrechtliche Angelegenheit,16.499.000,11.319.540,5.179.460,,9.480,9.480-,5.169.980,,,,
0204 Bürgerangelegenheiten,5.727.420,8.416.210,2.688.790-,,2.500,2.500-,2.691.290-,,,,
0205 Standesamtsangelegenheiten,474.000,1.655.300,1.181.300-,,1.000,1.000-,1.182.300-,,,,
0206 Ausländerangelegenheiten,702.200,4.515.460,3.813.260-,,,,3.813.260-,,,,
0207 Statistik,550,680.800,680.250-,,,,680.250-,,,,
0208 Wahlen,,2.420,2.420-,,1.000,1.000-,3.420-,,,,
0209 Brandschutz/feuerwehrt. Hilfeleistungen,1.004.050,33.115.060,32.111.010-,748.700,21.188.000,20.439.300-,52.550.310-,,,,35.074.000-
0210 Rettungsdienst,32.633.000,29.940.800,2.692.200,14.000,1.604.000,1.590.000-,1.102.200,,,,900.000-
0211 Veterinärw. u.Lebensmittelüberwachung,227.600,3.074.340,2.846.740-,4.000,25.000,21.000-,2.867.740-,,,,
02 Sicherheit und Ordnung,59.082.820,101.705.780,42.622.960-,766.700,22.839.620,22.072.920-,64.695.880-,,,,35.974.000-
0301 Leistungen für Schulen,2.961.210,36.848.640,33.887.430-,7.364.450,139.437.520,132.073.070-,165.960.500-,,,,69.429.000-
0302 Zentr.Leist. f. am Schulleben Beteiligte,995.080,15.236.090,14.241.010-,,2.900,2.900-,14.243.910-,,,,
03 Schulträgeraufgaben,3.956.290,52.084.730,48.128.440-,7.364.450,139.440.420,132.075.970-,180.204.410-,,,,69.429.000-
0401 Kulturmanagement / Kulturförderung,507.530,6.796.360,6.288.830-,1.000.000,7.988.150,6.988.150-,13.276.980-,,,,3.700.000-
0402 Volkshochschule,2.861.500,3.988.240,1.126.740-,,25.430,25.430-,1.152.170-,,,,
0403 Westf. Schule für Musik,2.797.810,7.647.060,4.849.250-,18.470,246.740,228.270-,5.077.520-,,,,
0404 Stadtbücherei u. Förderung freier Träger,721.140,6.210.790,5.489.650-,3.208.000,4.419.600,1.211.600-,6.701.250-,,,,
0405 Stadtmuseum,223.030,1.895.040,1.672.010-,,908.900,908.900-,2.580.910-,,,,
0406 Stadtarchiv,59.880,1.025.180,965.300-,,25.430,25.430-,990.730-,,,,
0407 Theater Münster,,26.017.580,26.017.580-,,,,26.017.580-,,,,
0408 Geschichtsort Villa ten Hompel,183.200,860.920,677.720-,10.000,11.000,1.000-,678.720-,,,,
04 Kultur und Wissenschaft,7.354.090,54.441.170,47.087.080-,4.236.470,13.625.250,9.388.780-,56.475.860-,,,,3.700.000-
