4730BaukostenSportstätten,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",0,1.661.430,17.367.500,41.997.500,0,24.630.000,2.047.000,3.800.000,0,58.055.930
Verpflichtungsermächtigung2026zuLasten,,,,17.367.500,,,24.630.000,0,0,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",0,1.661.430-,17.367.500-,,,24.630.000-,2.047.000-,3.800.000-,0,58.055.930-
