Kredite für,Schulden,davon,,davon,
Investitionen,am 31.12.,Beteiligungen,,Kernhaushalt,
,(in Mio. Euro),(in Mio. Euro),(in %),(in Mio. Euro),(in %)
2024 (Ist),"1.222,2","178,9","14,6","1.043,3","85,4"
2025 (Prognose),"1.427,2","193,1","13,5","1.234,1","86,5"
