"4165Hessenweg,Radweg DEK-HessenbuschNr.210",,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"133.400,00",500.000,280.000,0,,,0,0,0,633.400,913.400
AuszahlungfürBaumaßnahmen,"27.889,22",1.005.543,1.550.000,600.000,0,0,0,0,0,1.073.951,3.223.951
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"105.510,78",505.543-,1.270.000-,600.000-,,,0,0,0,440.551-,2.310.551-
