Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
"4277HammerStraße, Ludgeriplatz-Geiststraße",,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",400.000,20.000,30.000,0,0,700.000,400.000,0,400.000,1.550.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",400.000-,20.000-,30.000-,,,700.000-,400.000-,0,400.000-,1.550.000-
