Finanzplan,,Ist,Ansatz,fortgeschr.,Ansatz,Ansatz,Plan,Plan,Plan
,,2024,2025,Ansatz 2025,2026,2027,2028,2029,2030
Zeile,Bezeichnung,(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro)
09,Einzahlungen aus lfd. Verwaltungstätigkeit,"1.504,1","1.602,8","1.602,8","1.619,0","1.645,5","1.666,0","1.682,6","1.683,0"
16,Auszahlungen aus lfd. Verwaltungstätigkeit,"1.537,0","1.586,3","1.604,0","1.627,8","1.645,5","1.636,3","1.640,5","1.658,4"
17,Saldo aus lfd. Verwaltungstätigkeit,"-32,9","16,5","-1,2","-8,8","0,0","29,7","42,0","24,6"
