4037ModellquartierAm Haverkamp/Stadthafen2,,,,,,,,,,,
Auszahlungaussonstigen Investitionen,"0,00",0,0,0,0,0,185.000,305.000,225.000,0,715.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",0,0,0,,,185.000-,305.000-,225.000-,0,715.000-
