Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
0010Beschaffungen Ordnungsrecht,,,,,,,,,,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"85.073,29",108.947,8.640,42.140,0,0,1.140,1.140,1.140,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"85.073,29-",108.947-,8.640-,42.140-,,,1.140-,1.140-,1.140-,,
