Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
4385NeubauFeuerwehrhaus Albachten,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"84.113,34",1.143.680,3.780.000,370.000,570.000,0,200.000,0,0,1.227.794,5.577.794
Verpflichtungsermächtigung2026zuLasten,,,,370.000,,,200.000,0,0,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"84.113,34-",1.143.680-,3.780.000-,370.000-,,,200.000-,0,0,1.227.794-,5.577.794-
