6050KommunalerDigitalpakt,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",5.534.560,2.805.000,1.615.000,,,1.870.000,1.445.000,0,5.534.560,13.269.560
AuszahlungfürBaumaßnahmen,"0,00",3.295.750,3.200.000,675.000,600.000,1.600.000,1.640.000,970.000,0,3.295.750,9.780.750
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"0,00",3.215.500,100.000,1.225.000,1.000.000,500.000,560.000,730.000,0,3.215.500,5.830.500
Verpflichtungsermächtigung2026zuLasten,,,,1.600.000,,,0,0,0,,
Verpflichtungsermächtigung2027zuLasten,,,,0,,,2.100.000,0,0,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",976.690-,495.000-,285.000-,,,330.000-,255.000-,0,976.690-,2.341.690-
