Besoldungsgruppe,,Stellen 2026,Stellen 2025,,Veränderung gegenüber 2025,,,Ist-Besetzung am 30.06.2025,,
A12,,"1,00","1,00",,"0,00",,,"0,98",,
,Summe,"1,00","1,00",,,"0,00",,,"0,98",
