Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
"4023GrevenerStraße,Steinf StrbisYork-Ring",,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",50.000,0,0,,,0,0,0,350.000,1.550.000
AuszahlungfürBaumaßnahmen,"0,00",374.025,10.000,10.000,0,0,50.000,50.000,50.000,506.577,3.476.577
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",324.025-,10.000-,10.000-,,,50.000-,50.000-,50.000-,156.577-,1.926.577-
