0030Herrichtung Flüchtlingseinrichtungen,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",0,165.430,168.740,0,0,172.120,175.570,179.090,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",0,165.430-,168.740-,,,172.120-,175.570-,179.090-,,
