Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
0010Beschaffungenfürdie Stadtbücherei,,,,,,,,,,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"24.555,28",104.275,291.750,43.750,0,0,11.750,11.750,11.750,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"24.555,28-",104.275-,291.750-,43.750-,,,11.750-,11.750-,11.750-,,
