Laufbahngruppen,Besoldungs- gruppe,,Zahl der,,,Zahl der,,,Zahl der,,,Ist-Besetzung,,Erläuterungen
,,,Stellen,,,Stellen,,,Stellen,,,am,,
,,,2027,,,2026,,,2025,,,30.06.2025,,
Wahlbeamte und Wahlbeamtinnen,B10,"1,00",,,"1,00",,,"1,00",,,"1,00",,,
,B6,"1,00",,,"1,00",,,"1,00",,,"1,00",,,
,B5,"5,00",,,"5,00",,,"5,00",,,"5,00",,,
,Summe,,"7,00",,,"7,00",,,"7,00",,"7,00",,,
Laufbahngruppe 2 - Einstiegsamt 2,,,,,,,,,,,,,,
,B2,"6,00",,,"6,00",,,"6,00",,,"5,50",,,"1,00 x kw 31.12.2030"
,A16,"13,00",,,"13,00",,,"12,00",,,"11,00",,,
,A15,"29,65",,,"29,65",,,"32,00",,,"30,23",,,"1,00 x kw 31.12.2030"
,A14,"54,43",,,"54,43",,,"47,93",,,"45,78",,,"1,00 x kw 31.12.2030"
,A13L2E2,"16,00",,,"16,00",,,"11,00",,,"9,85",,,"1,00 x kw 31.12.2030"
,Summe,,"119,08",,,"119,08",,,"108,93",,"102,37",,,
Laufbahngruppe 2 - Einstiegsamt 1,,,,,,,,,,,,,,
,A13L2E1,"51,33",,,"51,83",,,"53,60",,,"49,99",,,"0,50 x kw 31.12.2026 1,00 x kw 31.12.2030"
,A12,"121,48",,,"121,48",,,"122,99",,,"108,56",,,"3,13 x kw 31.12.2030"
,A11,"199,16",,,"199,66",,,"200,41",,,"182,38",,,"0,50 x kw 31.12.2026 2,00 x kw 31.12.2028 6,50 x kw 31.12.2030"
,A10L2E1,"173,18",,,"172,38",,,"172,21",,,"154,34",,,"0,15 x kw 31.07.2028 1,00 x kw 31.12.2028 4,00 x kw 31.12.2030"
,Summe,,"545,15",,,"545,35",,,"549,21",,"495,26",,,
Laufbahngruppe 1 - Einstiegsamt 2,,,,,,,,,,,,,,
,A9L1E2Z,"46,05",,,"46,05",,,"51,05",,,"42,15",,,
,A9L1E2,"324,97",,,"313,30",,,"313,24",,,"277,35",,,
,A8,"178,96",,,"178,96",,,"192,37",,,"172,18",,,"2,00 x kw 31.12.2027 1,00 x kw 30.06.2028 1,50 x kw 31.12.2028 1,00 x kw 31.12.2029 1,00 x kw 31.03.2030"
,A7,"7,01",,,"7,01",,,"11,04",,,"9,68",,,"0,50 x kw 31.12.2029"
,Summe,,"556,98",,,"545,31",,,"567,70",,"501,37",,,
Insgesamt,,,"1.228,21",,,"1.216,74",,,"1.232,84",,"1.106,01",,,
