InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",0,0,0,,,0,0,0,,
Auszahlung,"0,00",9.000,4.000,4.500,0,0,4.500,4.500,4.500,,
Saldo(Einzahlungen./. Auszahlungen),"0,00",9.000-,4.000-,4.500-,,,4.500-,4.500-,4.500-,,
