InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",0,0,0,,,0,0,0,,
Auszahlung,"0,00",2.900,2.900,2.900,0,0,2.900,2.900,2.900,,
Saldo(Einzahlungen./. Auszahlungen),"0,00",2.900-,2.900-,2.900-,,,2.900-,2.900-,2.900-,,
