Lfd.,Produkt-,Amt,Aus-,Empfänger,Verwendungszweck / Zielsetzung,Zuschuss 2026 in €,davon Personal- kosten,davon,davon sonst. Kosten,Zuschuss 2027 in €,davon Personal- kosten,davon,davon sonst. Kosten,verpflichtende/,zeitliche
Nr.,gruppe,,schuss,,,,,Overhead,,,,Overhead,,freiwillige Leistung,Befristung
276,0605,51,AKJF,Zartbitter,Beratungsstelle gegen sexualisierte Gewalt (zu 75 % in PG 0604) mit Sperrvermerk,94.834,-,-,-,96.545,-,-,-,dem Grunde nach,31.12.2028
277,0605,51,AKJF,AWO,Stadtteilbezogenes psychologisches Beratungsangebot (zu 50 % in PG 0604),33.507,-,-,-,32.557,-,-,-,dem Grunde nach,31.12.2029
278,0605,51,AKJF,Sozialdienst katholischer Frauen e. V. Münster,Adoptionsvermittlung / Pflegekinderwesen,153.790,-,-,-,156.595,-,-,-,dem Grunde nach,31.12.2028
279,0605,51,AKJF,Verband alleinerziehender Mütter und Väter Münster e. V.,"Beratung alleinerziehender Mütter und Väter, Kinderbetreuung in Notsituationen (zu 40 % in PG 0604)",68.583,-,-,-,71.542,-,-,-,dem Grunde nach,31.12.2029
280,0605,51,AKJF,Verein sozialintegrativer Projekte e. V.,"Pädagogische Angebote in der Jugendgerichtshilfe - ""Die Brücke""",144.167,-,-,-,145.917,-,-,-,dem Grunde nach,31.12.2028
281,0605,51,AKJF,Verein f. Mototherapie u. psychomot. Entwicklungsförderung e. V.,Mototherapie für Kinder und Jugendliche,92.829,-,-,-,94.508,-,-,-,dem Grunde nach,31.12.2029
282,0605,51,AKJF,Caritasverband Münster,Grundförderung Jugendhilfe im Strafverfahren 4 VZÄ,409.447,-,-,-,416.916,-,-,-,dem Grunde nach,31.12.2028
283,0605,51,AKJF,Verein sozialintegrativer Projekte e. V.,1 VZÄ Jugendhilfe im Strafverfahren,93.786,-,-,-,95.479,-,-,-,dem Grunde nach,31.12.2028
284,0605,51,AKJF,MOT-Treff Kotten (Verkehrstraining Jugendhilfe),Jugendhilfe im Strafverfahren,4.271,-,-,-,4.271,-,-,-,dem Grunde nach,31.12.2028
285,0605,51,AKJF,Arbeiterwohlfahrt Unterbezirk Münsterland-Recklinghausen,Stadtteilbezogene Angebote - Mietkostenzuschuss,42.780,-,-,-,42.780,-,-,-,dem Grunde nach,31.12.2029
286,0701,53,ASGAM,Psycho-Soziales Zentrum Münster gGmbH,Zuschuss f. Kontakt- u. Beratungsstelle f. psych. Kranke,233.870,210.483,0,23.387,238.080,214.272,0,23.808,freiwillig,31.12.2030
287,0701,53,ASGAM,Verein Krisenhilfe e. V.,Zusch. Vereinsarbeit z. Prävention u. Betreuung von Menschen in Krisensituationen,155.110,139.599,0,15.511,157.900,142.110,0,15.790,freiwillig,31.12.2030
288,0701,53,ASGAM,Diakonisches Werk Münster e. V.,Zuschuss f. Arbeit d. psychosoz. Beratungs- u. Behandlungsstelle f. Suchkranke Beratungsstelle für Suchtgefährdete,126.370,113.733,0,12.637,128.640,115.776,0,12.864,dem Grunde nach,31.12.2031
289,0701,53,ASGAM,Caritasverband für die Stadt Münster e. V.,Zuschuss f. Arbeit d. psychosoz. Beratungs- u. Behandlungsstelle f. Suchtkranke Beratungsstelle für Suchtgefährdete,186.750,168.075,0,18.675,190.110,171.099,0,19.011,dem Grunde nach,31.12.2031
290,0701,53,ASGAM,"Start e.V. ""Cafe Trockendock""","Zuschuss für die Arbeit des Cafes ""Trockendock"" für suchtkranke, psychisch kranke und odachlose Menschen",61.660,55.494,0,6.166,62.770,56.493,0,6.277,freiwillig,31.12.2031
291,0701,53,ASGAM,HFR GmbH,"Zuschuss Firma ""Rümpelfix""",69.590,62.631,0,6.959,70.840,63.756,0,7.084,freiwillig,31.12.2030
292,0701,53,ASGAM,Fachstelle für Sexualität und Gesundheit - Aidshilfe Münster e.V,Zuschuss f. Prävention u. Betreuung von Aids- Betroffenen,218.260,196.434,0,21.826,222.190,199.971,0,22.219,dem Grunde nach,31.12.2029
293,0701,53,ASGAM,ASB Regionalverband Münsterland e.V.,Zuschuss an die Hebammenzentrale,17.050,15.345,0,1.705,17.360,15.624,0,1.736,freiwillig,31.12.2029
294,0701,53,ASGAM,Verein f. Mototherapie u. psychomot. Entwicklungsförderung e. V.,Zuschuss f. motopädisches Förderangebot in KiTa's,27.540,24.786,0,2.754,28.040,25.236,0,2.804,freiwillig,31.12.2028
295,0701,53,ASGAM,Deutsche Multiple-Sklerose- Gesellschaft Ortsverein Münster und Umgebung e. V.,Zuschuss f. Beratung und Betreuung von MS- Betroffenen,36.370,32.733,0,3.637,37.020,33.318,0,3.702,freiwillig,31.12.2028
296,0701,53,ASGAM,Tumornetzwerk im Münsterland e. V.,Zuschuss f. Beratung und Betreuung krebskranker Menschen u. ihrer Angehörigen,35.790,32.211,0,3.579,36.430,32.787,0,3.643,freiwillig,31.12.2028
297,0701,53,ASGAM,Stadtsportbund Münster e.V.,Strukturaufbau „bewegte Quartiere“,31.360,28.224,0,3.136,31.920,28.728,0,3.192,freiwillig,31.12.2029
298,0701,53,ASGAM,Donum Vitae,Pauschaler Zuschuss für Schwangerenberatung,30.754,-,-,-,29.270,-,-,-,dem Grunde nach,31.12.2032
299,0701,53,ASGAM,Pro Familia,Pauschaler Zuschuss für Schwangerenberatung,197.770,-,-,-,201.150,-,-,-,dem Grunde nach,31.12.2032
300,0701,53,ASGAM,Diakonisches BBC,Pauschaler Zuschuss für Schwangerenberatung,17.030,-,-,-,17.160,-,-,-,dem Grunde nach,31.12.2032
301,0701,53,ASGAM,SKF Schwangerenberatung,Pauschaler Zuschuss für Schwangerenberatung,8.100,-,-,-,8.250,-,-,-,dem Grunde nach,31.12.2032
302,0801,52,SPA,Sportvereine (21),Betriebskostenzuschüsse für überlassene Sportanlagen,2.017.120,0,0,2.017.120,2.017.130,0,0,2.017.130,freiwillig,31.12.2030
