Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
5520San./Umgest.Wegefl.im BezirkHiltrup,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",63.910,50.000,50.000,50.000,50.000,50.000,50.000,50.000,265.426,565.426
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",63.910-,50.000-,50.000-,,,50.000-,50.000-,50.000-,265.426-,565.426-
