0040Wettbewerbe/ Mehrfachbeauftragungen,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"271.271,59",0,0,0,0,0,0,0,0,,
Auszahlungaussonstigen Investitionen,"0,00",180.000,180.000,180.000,0,0,180.000,180.000,180.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"271.271,59-",180.000-,180.000-,180.000-,,,180.000-,180.000-,180.000-,,
