1009Breitbandausbau Münster_WeißeFlecken,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"6.132.139,18",21.834.520,0,4.458.340,,,0,0,0,31.077.620,35.535.960
Auszahlungvonaktivierbaren Zuwendungen,"6.854.228,75",28.252.580,0,4.953.720,0,0,0,0,0,38.563.432,43.517.152
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"722.089,57-",6.418.060-,0,495.380-,,,0,0,0,7.485.812-,7.981.192-
