6080Erweiterung Freiherr-vom-Stein-Gymnasium,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"653.351,21",7.525.132,4.672.000,2.035.000,2.000.000,0,0,0,0,8.255.058,14.962.058
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"0,00",0,392.000,0,0,0,0,0,0,0,392.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"653.351,21-",7.525.132-,5.064.000-,2.035.000-,,,0,0,0,8.255.058-,15.354.058-
