,,,,Wahlbeamte,,,,,,,,,,,,,Laufbahngruppe 2 –,,,,,,,,,,,,Laufbahngruppe 2 –,,,,,,,,,,,,Laufbahngruppe 1 –,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Einstiegsamt 2,,,,,,,,,,,,Einstiegsamt 1,,,,,,,,,,,,Einstiegsamt 2,,,,,,,,,,,,,
PG,Bezeichnung,,,B10,,,B6,,,B5,,,B2,,,A16,,,A15,,,A14,,,A13,,,A13,,,A12,,,A11,,,A10,,,A9Z,,,A9,,,A8,,,A7,,,Summe,,
0102,"GESCHÄFTSFÜHRUNG FÜR POLITISCHE GREMIEN, STÄDTEPARTNERSCHAFTEN",,,,,,,,,,,,,,,,,,,,,"1,00",,,,,,,,,,,,"1,75",,,"1,00",,,,,,"1,75",,,"0,12",,,,,,"5,62",,
0103,"OB, BM UND VERWALTUNGSFÜHRUNG",,,"1,00",,,"1,00",,,"5,00",,,"2,00",,,"1,00",,,,,,"5,00",,,,,,"1,23",,,"0,50",,,"2,00",,,,,,,,,,,,"1,00",,,,,,"19,73",,
0104,GLEICHSTELLUNG ALLER GESCHLECHTER,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",,,,,,,,,,,,,,,,,,,,,,,,"1,00",,
0105,PERSONAL- UND SCHWERBEHINDERTEN- VERTRETUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",,,,,,,,,"1,00",,
0106,WIRTSCHAFTLICHKEITS- PRÜFUNG UND REVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,56",,,"2,00",,,,,,,,,,,,,,,,,,"9,56",,
0108,PERSONAL- UND ORGANISATIONS- MANAGEMENT,,,,,,,,,,,,"0,80",,,,,,"1,00",,,"4,48",,,"1,00",,,"3,85",,,"13,48",,,"20,46",,,"1,74",,,"0,05",,,"10,76",,,"0,76",,,"0,50",,,"58,88",,
0109,FINANZ- UND BETEILIGUNGSMANAGEMENT,,,,,,,,,,,,,,,"1,00",,,,,,"4,00",,,,,,"6,00",,,"8,00",,,"8,50",,,"5,50",,,"1,00",,,"11,00",,,"14,00",,,"1,50",,,"60,50",,
0110,RECHT,,,,,,,,,,,,,,,"1,00",,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,"0,50",,,,,,"3,50",,
0111,IMMOBILIENMANAGEMENT,,,,,,,,,,,,,,,,,,"3,00",,,"4,00",,,"1,00",,,"5,00",,,"11,49",,,"16,25",,,,,,,,,"2,98",,,"4,81",,,,,,"48,53",,
0113,ZENTRALE DIENSTE,,,,,,,,,,,,"0,20",,,,,,,,,"0,45",,,,,,,,,,,,"0,53",,,"0,50",,,,,,"2,81",,,"0,50",,,,,,"4,99",,
0114,STIFTUNGSMANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,39",,,,,,,,,,,,,,,,,,"0,39",,
0116,MIGRATIONS- UND INTEGRATIONS- MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",,,"0,75",,,,,,,,,,,,,,,"1,75",,
,,Summen: Produktbereich 01,,,"1,00",,,"1,00",,,"5,00",,,"3,00",,,"3,00",,,"4,00",,,"18,93",,,"2,00",,,"17,08",,,"41,03",,,"54,87",,,"9,49",,,"1,05",,,"30,30",,,"21,69",,,"2,00",,,"215,44",
,,Innere Verwaltung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0201,ORDNUNGSRECHTLICHE ANGELEGENHEITEN,,,,,,,,,,,,,,,"0,32",,,"0,50",,,,,,,,,"0,50",,,"0,50",,,"2,00",,,"1,00",,,,,,"0,20",,,,,,,,,"5,02",,
0202,GEWERBERECHTLICHE ANGELEGENHEITEN,,,,,,,,,,,,,,,"0,22",,,,,,"0,50",,,,,,,,,,,,,,,"3,00",,,,,,"1,13",,,"2,00",,,,,,"6,85",,
0203,STRAßENVERKEHRS- RECHTLICHE ANGELEGENHEITEN,,,,,,,,,,,,,,,"0,46",,,"0,50",,,"0,50",,,,,,"1,50",,,"0,50",,,"2,00",,,"7,00",,,,,,"17,68",,,"4,50",,,"2,50",,,"37,14",,
