InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",0,0,0,,,0,0,0,,
Auszahlung,"5.429,98",5.430,25.430,5.430,0,0,5.430,5.430,5.430,,
Saldo(Einzahlungen./. Auszahlungen),"5.429,98-",5.430-,25.430-,5.430-,,,5.430-,5.430-,5.430-,,
