Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
5250KitaamStadion,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",1.020.000,4.592.400,0,0,0,0,0,0,1.020.000,5.612.400
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",1.020.000-,4.592.400-,0,,,0,0,0,1.020.000-,5.612.400-
