1,Umsatzerlöse,"73.794.000,00 €","77.706.000,00 €","81.819.000,00 €","84.877.000,00 €","86.353.000,00 €"
2,Bestandsveränderung,"0,00 €","0,00 €","0,00 €","0,00 €","0,00 €"
3,Gesamtleistung,"73.794.000,00 €","77.706.000,00 €","81.819.000,00 €","84.877.000,00 €","86.353.000,00 €"
