Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
4290AusgrabungenBaugeb HiltrupNördlOsttor,,,,,,,,,,,
Auszahlungaussonstigen Investitionen,"0,00",450.000,450.000,0,0,0,0,0,0,450.000,900.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",450.000-,450.000-,0,,,0,0,0,450.000-,900.000-
