,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
Leistungsdaten -ZahlderschriftlichenrechtlichenStellungnahmen -ZahlderanhängiggewordenenKlageverfahren -ZahlderneuerhobenenSchadensersatzforderungen -ZahlderAusschreibungen -ZahldereingegangenenAngebote/Teilnahmeanträge -ZahlderbeteiligtenUnternehmen,300,300,300,,300,300,300,300
,70,30,70,,70,70,70,70
,194,180,190,,190,190,190,190
,927,1.300,1.300,,1.300,1.300,1.300,1.300
,4.328,4.600,4.800,,4.800,4.800,4.800,4.800
,16.755,13.000,18.000,,18.000,18.000,18.000,18.000
